window_size,horizon,sell_threshold,classifier,n_estimators,max_depth,min_recall,threshold,met_recall_req,accuracy,precision,recall,f1,roc_auc,pr_auc,true_positives,false_positives,total_samples,sell_samples,sell_pct
15,2,0.01,random_forest,100,6,0.3,0.27321326472861124,True,0.20674850335611053,0.20674850335611053,1.0,0.3426538384445781,0.5080223735587712,0.2125421831584754,3419,13118,82684,20727,25.06772773450728
20,5,0.01,xgboost,100,10,0.4,0.07105183601379395,True,0.2789173443379051,0.278742260531747,1.0,0.4359631633912466,0.5181011676841727,0.29587428265279275,4592,11882,82389,26639,32.333199820364364
20,5,0.015,random_forest,200,6,0.4,0.3583933982574326,True,0.21865517659910183,0.21851289833080426,1.0,0.3586550435865504,0.5201435695673932,0.2389991940675193,3600,12875,82389,21667,26.29841362317785
20,5,0.015,random_forest,200,6,0.3,0.3583933982574326,True,0.21865517659910183,0.21851289833080426,1.0,0.3586550435865504,0.5201435695673932,0.2389991940675193,3600,12875,82389,21667,26.29841362317785
20,5,0.015,random_forest,100,10,0.4,0.2846417874102947,True,0.218594489622527,0.21849963583394028,1.0,0.3586371787208607,0.5132361175820952,0.23004977011924677,3600,12876,82389,21667,26.29841362317785
20,5,0.015,random_forest,100,10,0.3,0.2846417874102948,True,0.218594489622527,0.21849963583394028,1.0,0.3586371787208607,0.5132361175820952,0.23004977011924677,3600,12876,82389,21667,26.29841362317785
20,5,0.015,random_forest,100,8,0.4,0.3274916609814932,True,0.218594489622527,0.21849963583394028,1.0,0.3586371787208607,0.5165556677192801,0.23390024584721258,3600,12876,82389,21667,26.29841362317785
20,5,0.015,random_forest,100,8,0.3,0.3274916609814932,True,0.218594489622527,0.21849963583394028,1.0,0.3586371787208607,0.5165556677192801,0.23390024584721258,3600,12876,82389,21667,26.29841362317785
20,5,0.015,random_forest,100,6,0.4,0.3593640920695001,True,0.21865517659910183,0.21851289833080426,1.0,0.3586550435865504,0.5190792005314835,0.23718802391453853,3600,12875,82389,21667,26.29841362317785
20,5,0.015,random_forest,100,6,0.3,0.35936409206950015,True,0.21865517659910183,0.21851289833080426,1.0,0.3586550435865504,0.5190792005314835,0.23718802391453853,3600,12875,82389,21667,26.29841362317785
20,5,0.01,xgboost,200,10,0.4,0.02654978446662426,True,0.27879597038475545,0.2787084243748483,1.0,0.435921777102715,0.5175185879531508,0.29538733228883945,4592,11884,82389,26639,32.333199820364364
20,5,0.01,xgboost,200,10,0.3,0.02654978446662426,True,0.27879597038475545,0.2787084243748483,1.0,0.435921777102715,0.5175185879531508,0.29538733228883945,4592,11884,82389,26639,32.333199820364364
20,5,0.01,xgboost,200,8,0.4,0.02577204257249832,True,0.2786745964316058,0.2786745964316058,1.0,0.43588039867109635,0.5155487365160664,0.2936803987766444,4592,11886,82389,26639,32.333199820364364
20,5,0.01,xgboost,200,8,0.3,0.02577204257249832,True,0.2786745964316058,0.2786745964316058,1.0,0.43588039867109635,0.5155487365160664,0.2936803987766444,4592,11886,82389,26639,32.333199820364364
20,5,0.01,xgboost,200,6,0.4,0.05687471851706505,True,0.2786745964316058,0.2786745964316058,1.0,0.43588039867109635,0.5166621192560451,0.2919300693561709,4592,11886,82389,26639,32.333199820364364
20,5,0.01,xgboost,200,6,0.3,0.05687471851706505,True,0.2786745964316058,0.2786745964316058,1.0,0.43588039867109635,0.5166621192560451,0.2919300693561709,4592,11886,82389,26639,32.333199820364364
20,5,0.01,xgboost,100,10,0.3,0.07105183601379395,True,0.2789173443379051,0.278742260531747,1.0,0.4359631633912466,0.5181011676841727,0.29587428265279275,4592,11882,82389,26639,32.333199820364364
20,5,0.015,random_forest,200,8,0.4,0.3339959082992927,True,0.218594489622527,0.21849963583394028,1.0,0.3586371787208607,0.5178933711238805,0.23570556620535293,3600,12876,82389,21667,26.29841362317785
20,5,0.01,xgboost,100,8,0.4,0.062445830553770065,True,0.2786745964316058,0.2786745964316058,1.0,0.43588039867109635,0.51726380837175,0.2939218397737617,4592,11886,82389,26639,32.333199820364364
20,5,0.01,xgboost,100,8,0.3,0.062445830553770065,True,0.2786745964316058,0.2786745964316058,1.0,0.43588039867109635,0.51726380837175,0.2939218397737617,4592,11886,82389,26639,32.333199820364364
20,5,0.01,xgboost,100,6,0.4,0.08698118478059769,True,0.2786745964316058,0.2786745964316058,1.0,0.43588039867109635,0.5210044566822678,0.29479273010220625,4592,11886,82389,26639,32.333199820364364
20,5,0.01,xgboost,100,6,0.3,0.08698118478059769,True,0.2786745964316058,0.2786745964316058,1.0,0.43588039867109635,0.5210044566822678,0.29479273010220625,4592,11886,82389,26639,32.333199820364364
20,5,0.01,random_forest,200,10,0.4,0.2538798234221095,True,0.2786745964316058,0.2786745964316058,1.0,0.43588039867109635,0.5185902983101367,0.296514584140292,4592,11886,82389,26639,32.333199820364364
20,5,0.01,random_forest,200,10,0.3,0.2538798234221096,True,0.2786745964316058,0.2786745964316058,1.0,0.43588039867109635,0.5185902983101367,0.296514584140292,4592,11886,82389,26639,32.333199820364364
20,5,0.01,random_forest,200,8,0.4,0.3019621061592889,True,0.2786745964316058,0.2786745964316058,1.0,0.43588039867109635,0.5208121536126301,0.2989686808254534,4592,11886,82389,26639,32.333199820364364
20,5,0.01,random_forest,200,8,0.3,0.301962106159289,True,0.2786745964316058,0.2786745964316058,1.0,0.43588039867109635,0.5208121536126301,0.2989686808254534,4592,11886,82389,26639,32.333199820364364
20,5,0.01,random_forest,100,10,0.4,0.26226244559765666,True,0.2786745964316058,0.2786745964316058,1.0,0.43588039867109635,0.5190549513350113,0.2985905409422845,4592,11886,82389,26639,32.333199820364364
20,5,0.01,random_forest,100,10,0.3,0.26226244559765666,True,0.2786745964316058,0.2786745964316058,1.0,0.43588039867109635,0.5190549513350113,0.2985905409422845,4592,11886,82389,26639,32.333199820364364
20,5,0.01,random_forest,100,8,0.4,0.3551160959380458,True,0.27879597038475545,0.2787084243748483,1.0,0.435921777102715,0.5191072960253652,0.29811299843762473,4592,11884,82389,26639,32.333199820364364
20,5,0.01,random_forest,100,8,0.3,0.3551160959380459,True,0.27879597038475545,0.2787084243748483,1.0,0.435921777102715,0.5191072960253652,0.29811299843762473,4592,11884,82389,26639,32.333199820364364
