window_size,horizon,sell_threshold,classifier,n_estimators,max_depth,min_recall,threshold,met_recall_req,accuracy,precision,recall,f1,roc_auc,pr_auc,true_positives,false_positives,total_samples,sell_samples,sell_pct
15,2,0.005,random_forest,100,6,0.3,0.36158514944956105,True,0.3155348612202939,0.3155348612202939,1.0,0.47970581475522867,0.5016186739812181,0.3245995448964716,5218,11319,82684,29223,35.342992598326155
30,2,0.01,random_forest,100,10,0.4,0.3182440280240756,True,0.2071515892420538,0.20686070686070687,1.0,0.34280792420327305,0.5072220933596083,0.2142148594263565,3383,12971,81799,20490,25.04920598051321
20,5,0.015,random_forest,100,6,0.4,0.35936409206950015,True,0.21865517659910183,0.21851289833080426,1.0,0.3586550435865504,0.5190792005314835,0.23718802391453853,3600,12875,82389,21667,26.29841362317785
20,5,0.015,random_forest,100,8,0.3,0.3274916609814932,True,0.218594489622527,0.21849963583394028,1.0,0.3586371787208607,0.5165556677192801,0.23390024584721258,3600,12876,82389,21667,26.29841362317785
20,5,0.015,random_forest,100,8,0.4,0.3274916609814932,True,0.218594489622527,0.21849963583394028,1.0,0.3586371787208607,0.5165556677192801,0.23390024584721258,3600,12876,82389,21667,26.29841362317785
20,5,0.015,random_forest,100,10,0.3,0.2846417874102948,True,0.218594489622527,0.21849963583394028,1.0,0.3586371787208607,0.5132361175820952,0.23004977011924677,3600,12876,82389,21667,26.29841362317785
20,5,0.015,random_forest,100,10,0.4,0.2846417874102948,True,0.218594489622527,0.21849963583394028,1.0,0.3586371787208607,0.5132361175820952,0.23004977011924677,3600,12876,82389,21667,26.29841362317785
20,5,0.015,random_forest,200,6,0.3,0.35839339825743266,True,0.21865517659910183,0.21851289833080426,1.0,0.3586550435865504,0.5201435695673932,0.2389991940675193,3600,12875,82389,21667,26.29841362317785
20,5,0.015,random_forest,200,6,0.4,0.3583933982574326,True,0.21865517659910183,0.21851289833080426,1.0,0.3586550435865504,0.5201435695673932,0.2389991940675193,3600,12875,82389,21667,26.29841362317785
20,5,0.015,random_forest,200,8,0.3,0.3339959082992927,True,0.218594489622527,0.21849963583394028,1.0,0.3586371787208607,0.5178933711238805,0.23570556620535293,3600,12876,82389,21667,26.29841362317785
20,5,0.015,random_forest,200,8,0.4,0.33399590829929265,True,0.218594489622527,0.21849963583394028,1.0,0.3586371787208607,0.5178933711238805,0.23570556620535293,3600,12876,82389,21667,26.29841362317785
20,5,0.015,random_forest,200,10,0.3,0.2789790504666944,True,0.21853380264595218,0.21848637494689568,1.0,0.358619315634806,0.5159268390536833,0.23317060090824368,3600,12877,82389,21667,26.29841362317785
20,5,0.015,random_forest,200,10,0.4,0.2789790504666944,True,0.21853380264595218,0.21848637494689568,1.0,0.358619315634806,0.5159268390536833,0.23317060090824368,3600,12877,82389,21667,26.29841362317785
20,5,0.015,xgboost,100,6,0.3,0.04565051943063736,True,0.218594489622527,0.21849963583394028,1.0,0.3586371787208607,0.5112976911528705,0.22849314363058318,3600,12876,82389,21667,26.29841362317785
20,5,0.015,xgboost,100,6,0.4,0.04565051943063736,True,0.218594489622527,0.21849963583394028,1.0,0.3586371787208607,0.5112976911528705,0.22849314363058318,3600,12876,82389,21667,26.29841362317785
20,5,0.015,xgboost,100,8,0.3,0.022881800308823586,True,0.21847311566937735,0.21847311566937735,1.0,0.35860145432812035,0.5093563851357181,0.22990359442514047,3600,12878,82389,21667,26.29841362317785
20,5,0.015,xgboost,100,8,0.4,0.022881800308823586,True,0.21847311566937735,0.21847311566937735,1.0,0.35860145432812035,0.5093563851357181,0.22990359442514047,3600,12878,82389,21667,26.29841362317785
20,5,0.015,random_forest,100,6,0.3,0.35936409206950015,True,0.21865517659910183,0.21851289833080426,1.0,0.3586550435865504,0.5190792005314835,0.23718802391453853,3600,12875,82389,21667,26.29841362317785
20,5,0.01,xgboost,200,8,0.4,0.012204890139400959,True,0.27885665736133025,0.27872534142640365,1.0,0.43594246926472685,0.5093925007519168,0.2853830472079717,4592,11883,82389,26639,32.333199820364364
20,5,0.01,xgboost,200,8,0.3,0.012204890139400959,True,0.27885665736133025,0.27872534142640365,1.0,0.43594246926472685,0.5093925007519168,0.2853830472079717,4592,11883,82389,26639,32.333199820364364
20,5,0.01,random_forest,200,8,0.4,0.3019621061592889,True,0.2786745964316058,0.2786745964316058,1.0,0.43588039867109635,0.5208121536126301,0.2989686808254534,4592,11886,82389,26639,32.333199820364364
