window_size,horizon,sell_threshold,classifier,n_estimators,max_depth,min_recall,threshold,met_recall_req,accuracy,precision,recall,f1,roc_auc,pr_auc,true_positives,false_positives,total_samples,sell_samples,sell_pct
30,5,0.015,xgboost,100,10,0.3,0.0821290910243988,True,0.28709266665471045,0.28679847854169654,1.0,0.44575507870777037,0.5292201430733,0.3080054175189171,15985,39751,278793,76619,27.48239733422288
30,5,0.015,xgboost,100,10,0.4,0.0821290910243988,True,0.28709266665471045,0.28679847854169654,1.0,0.44575507870777037,0.5292201430733,0.3080054175189171,15985,39751,278793,76619,27.48239733422288
30,3,0.02,xgboost,200,10,0.3,0.02457200177013874,True,0.18718054484477842,0.18675758119504754,1.0,0.314735855332789,0.5288603640091359,0.20109253967051477,10408,45322,278793,49851,17.881008490170125
30,3,0.02,xgboost,200,10,0.4,0.02457200177013874,True,0.18718054484477842,0.18675758119504754,1.0,0.314735855332789,0.5288603640091359,0.20109253967051477,10408,45322,278793,49851,17.881008490170125
30,5,0.01,xgboost,200,8,0.4,0.09106767177581787,True,0.34528954966911174,0.3450960693206078,0.999948016842543,0.5131105124169757,0.5267351491035146,0.36552240536733066,19236,36505,278793,92766,33.27414963790339
30,5,0.01,xgboost,200,8,0.3,0.09106767177581787,True,0.34528954966911174,0.3450960693206078,0.999948016842543,0.5131105124169757,0.5267351491035146,0.36552240536733066,19236,36505,278793,92766,33.27414963790339
30,5,0.015,xgboost,200,10,0.3,0.03701872006058693,True,0.2869671263831848,0.28674716087479146,0.9998748827025337,0.44568066477050916,0.5258931079145814,0.3046605210654248,15983,39756,278793,76619,27.48239733422288
30,5,0.015,xgboost,200,10,0.4,0.03701872006058693,True,0.2869671263831848,0.28674716087479146,0.9998748827025337,0.44568066477050916,0.5258931079145814,0.3046605210654248,15983,39756,278793,76619,27.48239733422288
20,3,0.015,xgboost,200,8,0.3,0.09892794489860535,True,0.24063685419671957,0.23972468393930207,0.9998512568793694,0.3867274583974571,0.5259078733420546,0.2543952841160578,13444,42637,280753,64638,23.02308434816369
20,3,0.015,xgboost,200,8,0.4,0.09892794489860535,True,0.24063685419671957,0.23972468393930207,0.9998512568793694,0.3867274583974571,0.5259078733420546,0.2543952841160578,13444,42637,280753,64638,23.02308434816369
