window_size,horizon,buy_threshold,classifier,n_estimators,max_depth,min_precision,threshold,met_precision_req,accuracy,precision,recall,f1,roc_auc,pr_auc,win_rate,true_positives,false_positives,total_samples,buy_samples,buy_pct
30,12,0.002,xgboost,100,,0.52,0.8376867771148682,True,0.5223948177820564,0.5200012351206559,0.2814395775189264,0.3652145626067391,0.5296197590120572,0.513374803582078,0.5200012351206559,33681,31090,1225726,603496,49.23579984433715
30,12,0.002,xgboost,200,,0.52,0.8395913243293762,True,0.5221990160965302,0.5200270913071555,0.27588281498069755,0.3605094915457816,0.5291295533413358,0.512083201254715,0.5200270913071555,33016,30473,1225726,603496,49.23579984433715
30,12,0.002,random_forest,200,10.0,0.52,0.5090367602376138,True,0.520946701149519,0.5200035784576847,0.24285141300533114,0.3310815429131257,0.5249478169972275,0.511040845200621,0.5200035784576847,29063,26827,1225726,603496,49.23579984433715
30,12,0.002,xgboost,100,5.0,0.52,0.8391231894493103,True,0.5207712954729019,0.5200270314697448,0.23791299697511573,0.3264669628780278,0.5292035046275422,0.5127724852153192,0.5200270314697448,28472,26279,1225726,603496,49.23579984433715
20,12,0.002,random_forest,100,10.0,0.52,0.5104253984357665,True,0.5222273533772452,0.5200030818421711,0.22493938459743873,0.314035455053043,0.5233347594921104,0.5085149169598446,0.5200030818421711,26997,24920,1234287,605306,49.0409442860534
20,12,0.002,xgboost,200,5.0,0.52,0.8393973708152771,True,0.5221706406112016,0.5200147466868463,0.22329797782017846,0.31243442374501623,0.5262380655010281,0.509493466079547,0.5200147466868463,26800,24737,1234287,605306,49.0409442860534
20,12,0.002,random_forest,200,10.0,0.52,0.5107535258936395,True,0.5218749240454026,0.5200040209087253,0.21550754463876554,0.3047261117230898,0.5240068406556359,0.5090904272604357,0.5200040209087253,25865,23875,1234287,605306,49.0409442860534
20,12,0.002,xgboost,100,5.0,0.52,0.838349461555481,True,0.5218101094556384,0.5200081086559902,0.21373282563594098,0.3029483492668985,0.5258732789155501,0.5092675327836965,0.5200081086559902,25652,23678,1234287,605306,49.0409442860534
30,12,0.002,random_forest,200,,0.52,0.5279821438534745,True,0.5198493958702162,0.5200105800728397,0.21356351421361364,0.30277864982851865,0.5245810576220589,0.5103958192496842,0.5200105800728397,25558,23591,1225726,603496,49.23579984433715
30,12,0.002,xgboost,100,10.0,0.52,0.8447049856185913,True,0.5198493958702162,0.5201178227340602,0.21246887377375204,0.3016949353646454,0.5255963812711987,0.5090757969328317,0.5201178227340602,25427,23460,1225726,603496,49.23579984433715
30,12,0.002,random_forest,200,5.0,0.52,0.5063432007671846,True,0.5197107030096351,0.5200057957814991,0.20992028343666963,0.29909813376194305,0.5206842527633954,0.5079648381044825,0.5200057957814991,25122,23189,1225726,603496,49.23579984433715
20,12,0.002,xgboost,100,,0.52,0.8394094109535217,True,0.5215549020084421,0.5200184366554231,0.2068089219206959,0.2959284649776453,0.5254107957713734,0.5087699408630715,0.5200184366554231,24821,22910,1234287,605306,49.0409442860534
30,12,0.003,xgboost,100,,0.52,0.8366750478744507,True,0.5307041518115735,0.520013854913082,0.2054921083023226,0.29457716079662516,0.5363858360868959,0.5059318344008541,0.520013854913082,24021,22172,1225726,590951,48.212324777315644
30,12,0.002,random_forest,100,5.0,0.52,0.5066846472492013,True,0.5194945053151999,0.5200068108292184,0.20415462005113894,0.29319924636081074,0.5205773976291335,0.5078554017257236,0.5200068108292184,24432,22552,1225726,603496,49.23579984433715
20,12,0.002,random_forest,100,5.0,0.52,0.5084825326933617,True,0.5210930980563725,0.5200303185678935,0.19436089285863073,0.2829641670103593,0.5206766175408488,0.5055957766435822,0.5200303185678935,23327,21530,1234287,605306,49.0409442860534
20,12,0.002,random_forest,200,5.0,0.52,0.5087081718151406,True,0.521008028907307,0.5200117185739397,0.1922612253059932,0.28072971476887704,0.5215674615516612,0.5060741454592284,0.5200117185739397,23075,21299,1234287,605306,49.0409442860534
30,12,0.002,xgboost,200,5.0,0.52,0.8440138697624207,True,0.5189193378639668,0.5200165749671953,0.18875444958804752,0.2769736317767437,0.5280988214232955,0.510627263416649,0.5200165749671953,22589,20850,1225726,603496,49.23579984433715
20,12,0.002,random_forest,200,,0.52,0.5290754212992652,True,0.5208500433447569,0.5200064499781162,0.18808688624301154,0.2762528299577801,0.5217001270951106,0.5081356119899156,0.5200064499781162,22574,20837,1234287,605306,49.0409442860534
20,12,0.002,xgboost,200,,0.52,0.8429467082023621,True,0.5206718032229055,0.5200151325278415,0.1832459860522084,0.27099659914239244,0.524575931755641,0.5076921812306603,0.5200151325278415,21993,20300,1234287,605306,49.0409442860534
15,12,0.002,xgboost,100,5.0,0.52,0.8391287922859192,True,0.5209398086472085,0.52003309301501,0.18278042255510416,0.2704895861509332,0.5244811675006553,0.5071867111669026,0.52003309301501,22000,20305,1238546,607046,49.012794034295055
