window_size,horizon,buy_threshold,classifier,n_estimators,max_depth,min_precision,threshold,met_precision_req,accuracy,precision,recall,f1,roc_auc,pr_auc,win_rate,true_positives,false_positives,total_samples,buy_samples,buy_pct
15,4,0.002,random_forest,100,10,0.5,0.5121992072959506,True,0.5298104956268221,0.5,0.20523949775228648,0.29102099131772724,0.5202471792341941,0.4892468842635334,0.5,5296,5296,274400,128389,46.78899416909621
20,4,0.002,random_forest,100,10,0.5,0.5158358462824633,True,0.5298979629155542,0.5001499700059988,0.1297160637884092,0.20600407684230032,0.5178336378812998,0.4857508586742417,0.5001499700059988,3335,3333,273426,127870,46.76585255242735
20,2,0.002,random_forest,100,10,0.5,0.5199233197195792,True,0.5433931902132173,0.5001397038278849,0.07168315245684995,0.12539404553415062,0.5136756537634135,0.4717559864381917,0.5001397038278849,1790,1789,273426,123251,45.07654721935734
10,4,0.002,random_forest,100,10,0.5,0.5184704097049901,True,0.5301412644805171,0.5,0.06036248405920315,0.1077204234336747,0.5177061571135033,0.48325594247374887,0.5,1562,1562,275367,128724,46.74634215428864
20,4,0.01,random_forest,100,10,0.5,0.5434842310057245,False,0.6272172036718722,0.42076251722553976,0.04570630208073449,0.08245566657664956,0.5250995655183393,0.3846206579957142,0.42076251722553976,916,1261,273426,94155,34.43527682078515
20,4,0.005,random_forest,100,10,0.5,0.5338140384385682,True,0.5716453937022272,0.5002476473501734,0.043114488175531464,0.07938691294949891,0.5229598434929577,0.44861471655885676,0.5002476473501734,1010,1009,273426,114300,41.8029009677207
15,2,0.002,random_forest,100,10,0.5,0.5245312256778569,True,0.5430940233236151,0.5,0.03437686939182453,0.06433075861039592,0.5139667459624148,0.470131246439278,0.5,862,862,274400,123754,45.09985422740525
10,4,0.002,xgboost,100,10,0.5,0.854996919631958,True,0.5301412644805171,0.5,0.029949375893650734,0.05651365442811828,0.508675837926066,0.4775657318255242,0.5,775,775,275367,128724,46.74634215428864
15,4,0.002,xgboost,100,10,0.5,0.8606565594673157,True,0.5298287172011662,0.5003750937734434,0.02584870562703457,0.049157976194863104,0.5081941231675917,0.478921956012879,0.5003750937734434,667,666,274400,128389,46.78899416909621
20,4,0.002,xgboost,100,10,0.5,0.8701216578483582,True,0.5298613904838533,0.5,0.015169194865810968,0.02944507361268403,0.5069681972081241,0.4764971164133466,0.5,390,390,273426,127870,46.76585255242735
10,4,0.005,random_forest,100,10,0.5,0.5320384829042731,True,0.5720122017648981,0.5,0.012812354164015103,0.02498448810754912,0.5203067389771622,0.443896481914178,0.5,302,302,275367,115045,41.77878976057407
20,2,0.002,xgboost,100,10,0.5,0.8617197275161743,True,0.5433931902132173,0.5008431703204047,0.01189379680429298,0.02323580034423408,0.5072673377341846,0.46264187771487225,0.5008431703204047,297,296,273426,123251,45.07654721935734
15,4,0.005,random_forest,100,10,0.5,0.5436347941625089,True,0.5716107871720116,0.5,0.009102509570395576,0.017879522098755117,0.5231559492111754,0.44815143320483875,0.5,214,214,274400,114758,41.82142857142857
15,2,0.005,random_forest,100,10,0.5,0.5460278551910989,True,0.6029154518950437,0.5017421602787456,0.006607626302023586,0.013043478260869565,0.5205463885848258,0.4159022849841736,0.5017421602787456,144,143,274400,104522,38.09110787172011
10,2,0.005,random_forest,100,10,0.5,0.5367159972816316,True,0.6031702799869266,0.5019011406844106,0.006039531478770132,0.011935440119354402,0.5184711199946545,0.41371416823678125,0.5019011406844106,132,131,275367,104808,38.0612055910839
10,2,0.002,random_forest,100,10,0.5,0.5315373039671605,True,0.5432872135672004,0.5,0.005844233292251421,0.011553424765198255,0.5127326513550181,0.46694329450271094,0.5,147,147,275367,124114,45.07221271975219
10,2,0.01,random_forest,100,10,0.5,0.5510840145242321,False,0.686730580673276,0.4212962962962963,0.005284859747952843,0.010438772583882995,0.5258110753289403,0.331480468464859,0.4212962962962963,91,125,275367,78683,28.573866875842057
20,2,0.005,xgboost,100,10,0.5,0.8453628420829773,True,0.6030793987492228,0.5,0.0032709849811112133,0.006499450750640791,0.5135036523982743,0.40933269555303725,0.5,71,71,273426,104085,38.06697241666849
15,4,0.005,xgboost,100,10,0.5,0.8675615787506104,True,0.5716107871720116,0.5,0.00314759676733305,0.006255811987488376,0.5126328638563857,0.44017232757594676,0.5,74,74,274400,114758,41.82142857142857
20,4,0.005,xgboost,100,10,0.5,0.8717555403709412,True,0.5716453937022272,0.5035971223021583,0.002988132843848715,0.005941014215998302,0.5077764791694558,0.4350815866051806,0.5035971223021583,70,69,273426,114300,41.8029009677207
20,2,0.01,xgboost,100,10,0.5,0.8036960959434509,True,0.687214277877336,0.5084745762711864,0.00175377060680463,0.003495484998543548,0.5206053913776959,0.32920433953597195,0.5084745762711864,30,29,273426,78149,28.581407766635213
15,2,0.005,xgboost,100,10,0.5,0.8580747842788696,True,0.6029336734693878,0.5147058823529411,0.0016060202817418437,0.003202049311559398,0.5069564797384539,0.4047824889437924,0.5147058823529411,35,33,274400,104522,38.09110787172011
15,4,0.01,random_forest,100,10,0.5,0.5668172998116643,True,0.6334001457725947,0.5098039215686274,0.0012922465208747515,0.002577958455207972,0.5279950604199888,0.3885420141642121,0.5098039215686274,26,25,274400,94553,34.45809037900875
10,2,0.01,xgboost,100,10,0.5,0.8154121041297913,True,0.6874205614264444,0.5625,0.0010453568732214414,0.0020868355457654628,0.5134151585368559,0.3225842156020787,0.5625,18,14,275367,78683,28.573866875842057
10,4,0.005,xgboost,100,10,0.5,0.8766945600509644,True,0.5720122017648981,0.5,0.0010182003309151075,0.0020322621618188747,0.5097926151314619,0.43616945983458694,0.5,24,24,275367,115045,41.77878976057407
15,2,0.002,xgboost,100,10,0.5,0.8919989466667175,True,0.5431304664723032,0.5238095238095238,0.0008773678963110668,0.0017518015686586773,0.5056027154236,0.4618619283557778,0.5238095238095238,22,20,274400,123754,45.09985422740525
15,4,0.01,xgboost,100,10,0.5,0.8553683757781982,True,0.6334001457725947,0.5161290322580645,0.0007952286282306163,0.0015880105205696988,0.5131632722365462,0.3794610462057552,0.5161290322580645,16,15,274400,94553,34.45809037900875
10,2,0.005,xgboost,100,10,0.5,0.8825786113739014,True,0.6031884373751679,0.5625,0.00041178623718887263,0.0008229700073152889,0.5078449670670182,0.40494510313967397,0.5625,9,7,275367,104808,38.0612055910839
10,4,0.01,xgboost,100,10,0.5,0.8708922266960144,True,0.6338017939499583,0.5384615384615384,0.0003470672814715653,0.0006936874442572589,0.5111040003050004,0.3767449723259416,0.5384615384615384,7,6,275367,94776,34.41806752443103
10,2,0.002,xgboost,100,10,0.5,0.9207236170768738,True,0.5432872135672004,0.5,0.00023854013437760903,0.00047685277170673556,0.5016864670307222,0.4590982778316624,0.5,6,6,275367,124114,45.07221271975219
15,2,0.01,random_forest,100,10,0.5,0.5955357452120178,True,0.6870262390670554,0.5,0.0002328830926874709,0.0004655493482309125,0.529085809834772,0.33604212675279155,0.5,4,4,274400,78490,28.604227405247812
20,2,0.005,random_forest,100,10,0.5,0.5846385017899071,True,0.6030793987492228,0.5,0.00023035105500783193,0.00046048996131884323,0.5180971024826675,0.41391790671048945,0.5,5,5,273426,104085,38.06697241666849
15,2,0.01,xgboost,100,10,0.5,0.8572361469268799,True,0.6870262390670554,0.5,0.00017466231951560317,0.0003492026539401699,0.5147694315011417,0.32613134415362394,0.5,3,3,274400,78490,28.604227405247812
10,4,0.01,random_forest,100,10,0.5,0.5792759396494574,True,0.633783636561717,0.5,0.00014874312063067083,0.00029739776951672863,0.5260833949119057,0.3846042834336936,0.5,3,3,275367,94776,34.41806752443103
20,4,0.01,xgboost,100,10,0.5,0.8975659012794495,True,0.6335442343561424,0.6666666666666666,9.979541939024999e-05,0.00019956096587507485,0.5141192947299714,0.37715378960527546,0.6666666666666666,2,1,273426,94155,34.43527682078515
20,2,0.01,random_forest,100,10,0.5,0.6144388958192503,True,0.687214277877336,1.0,5.8459020226820995e-05,0.00011691120593908926,0.5321999548008172,0.33815138551986446,1.0,1,0,273426,78149,28.581407766635213
