window_size,horizon,take_profit,stop_loss,classifier,n_estimators,max_depth,min_precision,threshold,met_constraints,accuracy,precision,recall,f1,roc_auc,pr_auc,win_rate,true_positives,false_positives,total_samples,buy_samples,buy_pct
30,12,0.01,0.008,xgboost,200,10,0.5,0.8142310976982117,True,0.5775030621598164,0.5000867980210051,0.22121753153256926,0.3067442200955664,0.5672697560105124,0.4771339654451548,0.5000867980210051,11523,11519,616392,264422,42.898350400394555
30,12,0.01,0.008,xgboost,100,10,0.5,0.8206924200057983,True,0.5774706154332855,0.5,0.18975215496553974,0.2751019385724425,0.5663230146164817,0.4748990219044048,0.5,9884,9884,616392,264422,42.898350400394555
30,12,0.01,0.008,xgboost,200,5,0.5,0.8207213282585144,True,0.5774949504781837,0.5000792267469498,0.18176582387836204,0.2666216102052885,0.5691364914347719,0.47559518389680394,0.5000792267469498,9468,9465,616392,264422,42.898350400394555
30,12,0.01,0.008,xgboost,200,15,0.5,0.7829249501228333,True,0.5774706154332855,0.5,0.17961565781642957,0.26429005240038983,0.5605162011723314,0.4723024657597347,0.5,9356,9356,616392,264422,42.898350400394555
30,12,0.01,0.008,random_forest,200,15,0.5,0.5388306711671507,True,0.5774787271149182,0.5000268514043285,0.17875175180940314,0.26335737519445623,0.56710307167632,0.4752876194707388,0.5000268514043285,9311,9310,616392,264422,42.898350400394555
30,12,0.01,0.008,random_forest,100,15,0.5,0.5400325274019914,True,0.5774787271149182,0.5000283237976548,0.16945996275605213,0.25313297582518424,0.5657940289674233,0.4732794616409498,0.5000283237976548,8827,8826,616392,264422,42.898350400394555
20,12,0.01,0.008,xgboost,200,15,0.5,0.7929182648658752,True,0.5779137646443093,0.5000298062593145,0.1600091564610278,0.24243825599375696,0.5621822701944919,0.4721379393851823,0.5000298062593145,8388,8387,620972,266109,42.85362302970182
30,6,0.01,0.008,xgboost,200,10,0.5,0.8192173838615417,True,0.5896056911558335,0.5001319609395619,0.14981125363163825,0.23055982236551945,0.5677590966409161,0.46426875568041237,0.5001319609395619,7580,7576,616392,254433,41.27779075653156
30,12,0.01,0.008,xgboost,100,5,0.5,0.8206695914268494,True,0.5775111738414491,0.5001624748164034,0.14774712511278773,0.2281107356689786,0.5667717440163834,0.4727708012653137,0.5001624748164034,7696,7691,616392,264422,42.898350400394555
20,12,0.01,0.008,xgboost,200,10,0.5,0.826641857624054,True,0.5779298683521881,0.500102746763477,0.13927358742512685,0.2178720102654392,0.5635775144566814,0.47162161232214705,0.500102746763477,7301,7298,620972,266109,42.85362302970182
30,12,0.01,0.008,random_forest,200,10,0.5,0.5371202979843869,True,0.5774706154332855,0.5,0.13027702585958648,0.20669803993237995,0.5620193536681094,0.46867422255554836,0.5,6786,6786,616392,264422,42.898350400394555
20,12,0.01,0.008,xgboost,100,10,0.5,0.8265751004219055,True,0.5779298683521881,0.5001104809604479,0.1295257716226012,0.20576069334383854,0.5639620930810094,0.4715962680530646,0.5001104809604479,6790,6787,620972,266109,42.85362302970182
30,6,0.01,0.008,xgboost,100,10,0.5,0.8207699060440063,True,0.5895732444293026,0.5,0.12868351878569875,0.20468727895754413,0.5688997165158103,0.4649070679273487,0.5,6511,6511,616392,254433,41.27779075653156
30,12,0.01,0.008,random_forest,100,10,0.5,0.5369381531859866,True,0.5774706154332855,0.5,0.12618787075966134,0.20151759025063232,0.5617409928538923,0.46799093220698795,0.5,6573,6573,616392,264422,42.898350400394555
20,12,0.01,0.008,xgboost,200,5,0.5,0.8240183591842651,True,0.5779540239140062,0.5002364811603343,0.1210560451718744,0.19493764207163483,0.5667951041759137,0.47112019254084464,0.5002364811603343,6346,6340,620972,266109,42.85362302970182
30,6,0.01,0.008,xgboost,200,5,0.5,0.8183049559593201,True,0.5895732444293026,0.5,0.12014546316975315,0.19373755079276553,0.5712749084970334,0.46476908284547963,0.5,6079,6079,616392,254433,41.27779075653156
