window_size,horizon,buy_threshold,classifier,n_estimators,max_depth,min_precision,threshold,met_precision_req,accuracy,precision,recall,f1,roc_auc,pr_auc,win_rate,true_positives,false_positives,total_samples,buy_samples,buy_pct
21,6,0.002,random_forest,150,10,0.45,0.452488185379853,True,0.4796645141414019,0.47474100181565737,0.995760886422774,0.6429485396383866,0.5302746678788,0.4965247765922618,0.47474100181565737,115570,127868,1233432,586806,47.57505886015605
21,6,0.002,random_forest,150,8,0.45,0.4590321466675118,True,0.47923887355231526,0.47455366851449887,0.9964760214368182,0.6429256388091313,0.5298631595932186,0.495627797313862,0.47455366851449887,115653,128056,1233432,586806,47.57505886015605
18,6,0.002,random_forest,150,8,0.45,0.45350189535982555,True,0.48009093887920257,0.4749266169920151,0.9946606365965642,0.6428890969765846,0.5288811489018077,0.49344511615341413,0.4749266169920151,115685,127900,1235995,588045,47.57664877285102
15,6,0.002,random_forest,100,12,0.45,0.4315973874862577,True,0.4792701142464979,0.47469643076168283,0.9956608239289267,0.6428868057208985,0.5290121766461898,0.4932133312052526,0.47469643076168283,116106,128484,1238546,589568,47.60162319364804
21,6,0.002,random_forest,100,10,0.45,0.4512990589104248,True,0.4793158942303405,0.4745781500184752,0.9959590563664248,0.6428404591360057,0.5297950628104315,0.4961870669412999,0.4745781500184752,115593,127977,1233432,586806,47.57505886015605
21,6,0.002,random_forest,100,8,0.45,0.4625414298047969,True,0.48019149772789,0.4749588409614751,0.9942616877186331,0.6428352580064731,0.5296298666304324,0.4957677364960454,0.4749588409614751,115396,127564,1233432,586806,47.57505886015605
18,6,0.002,random_forest,100,8,0.45,0.4482970349269379,True,0.478828797851124,0.4743680508096561,0.9966639726239402,0.642794362698208,0.5286447281967344,0.49329351253429865,0.4743680508096561,115918,128445,1235995,588045,47.57664877285102
18,6,0.002,random_forest,150,10,0.45,0.4434436734261618,True,0.4790553359843689,0.4744648700003686,0.9961738861279728,0.6427812559812925,0.5295434474169346,0.4946873912647032,0.4744648700003686,115861,128332,1235995,588045,47.57664877285102
15,6,0.002,random_forest,150,12,0.45,0.43112942642673163,True,0.47884219450163495,0.47449788367570395,0.9959523891194731,0.6427654299123351,0.5292430576219834,0.4936334100501198,0.47449788367570395,116140,128624,1238546,589568,47.60162319364804
21,6,0.002,random_forest,100,12,0.45,0.4418509587001544,True,0.47891457596063025,0.4743935309973046,0.9962950836621806,0.64274100981354,0.5307603115609139,0.49755359089919643,0.4743935309973046,115632,128115,1233432,586806,47.57505886015605
18,6,0.002,random_forest,100,10,0.45,0.4443237498737556,True,0.4791564690795675,0.47450405198338236,0.9957869757364195,0.6427366364766471,0.5293845201301577,0.4945597765073749,0.47450405198338236,115816,128262,1235995,588045,47.57664877285102
