window_size,horizon,buy_threshold,classifier,n_estimators,max_depth,min_precision,threshold,met_precision_req,accuracy,precision,recall,f1,roc_auc,pr_auc,win_rate,true_positives,false_positives,total_samples,buy_samples,buy_pct
20,20,0.002,xgboost,200,10,0.4,0.026853948831558228,True,0.5057487159225602,0.5057291872456439,1.0,0.6717399005471221,0.5309061463412728,0.5322809634590908,0.5057291872456439,25599,25019,253097,127692,50.45180306364754
20,20,0.002,xgboost,200,10,0.3,0.026853948831558228,True,0.5057487159225602,0.5057291872456439,1.0,0.6717399005471221,0.5309061463412728,0.5322809634590908,0.5057291872456439,25599,25019,253097,127692,50.45180306364754
20,20,0.002,xgboost,200,10,0.2,0.026853948831558228,True,0.5057487159225602,0.5057291872456439,1.0,0.6717399005471221,0.5309061463412728,0.5322809634590908,0.5057291872456439,25599,25019,253097,127692,50.45180306364754
20,20,0.002,xgboost,400,10,0.4,0.0251112412661314,True,0.5058277360726985,0.5057702948383527,0.9998046798703074,0.6717320840386861,0.5331833873320386,0.533759050553991,0.5057702948383527,25594,25010,253097,127692,50.45180306364754
20,20,0.002,xgboost,400,10,0.3,0.0251112412661314,True,0.5058277360726985,0.5057702948383527,0.9998046798703074,0.6717320840386861,0.5331833873320386,0.533759050553991,0.5057702948383527,25594,25010,253097,127692,50.45180306364754
20,20,0.002,xgboost,400,10,0.2,0.0251112412661314,True,0.5058277360726985,0.5057702948383527,0.9998046798703074,0.6717320840386861,0.5331833873320386,0.533759050553991,0.5057702948383527,25594,25010,253097,127692,50.45180306364754
20,20,0.002,random_forest,400,10,0.4,0.05889157420805786,True,0.5057092058474911,0.5057092058474911,1.0,0.6717222739736811,0.5301621172376694,0.5336959551864264,0.5057092058474911,25599,25021,253097,127692,50.45180306364754
20,20,0.002,random_forest,200,10,0.3,0.058790254380770485,True,0.5057092058474911,0.5057092058474911,1.0,0.6717222739736811,0.5297556786937044,0.5337109750910207,0.5057092058474911,25599,25021,253097,127692,50.45180306364754
20,20,0.002,random_forest,400,10,0.3,0.05889157420805786,True,0.5057092058474911,0.5057092058474911,1.0,0.6717222739736811,0.5301621172376694,0.5336959551864264,0.5057092058474911,25599,25021,253097,127692,50.45180306364754
20,20,0.002,random_forest,400,10,0.2,0.05889157420805786,True,0.5057092058474911,0.5057092058474911,1.0,0.6717222739736811,0.5301621172376694,0.5336959551864264,0.5057092058474911,25599,25021,253097,127692,50.45180306364754
20,20,0.002,random_forest,200,10,0.4,0.05879025438077048,True,0.5057092058474911,0.5057092058474911,1.0,0.6717222739736811,0.5297556786937044,0.5337109750910207,0.5057092058474911,25599,25021,253097,127692,50.45180306364754
20,20,0.002,random_forest,200,10,0.2,0.058790254380770485,True,0.5057092058474911,0.5057092058474911,1.0,0.6717222739736811,0.5297556786937044,0.5337109750910207,0.5057092058474911,25599,25021,253097,127692,50.45180306364754
30,20,0.002,random_forest,200,10,0.3,0.13344752683375938,True,0.5047555983626294,0.5046267488307674,0.9999204518335852,0.6707487893704727,0.5504404392623077,0.5477735369982791,0.5046267488307674,25140,24679,249177,125623,50.41516672887144
30,20,0.002,random_forest,200,10,0.2,0.13344752683375935,True,0.5047555983626294,0.5046267488307674,0.9999204518335852,0.6707487893704727,0.5504404392623077,0.5477735369982791,0.5046267488307674,25140,24679,249177,125623,50.41516672887144
30,20,0.002,random_forest,200,10,0.4,0.13344752683375935,True,0.5047555983626294,0.5046267488307674,0.9999204518335852,0.6707487893704727,0.5504404392623077,0.5477735369982791,0.5046267488307674,25140,24679,249177,125623,50.41516672887144
30,20,0.002,random_forest,400,10,0.2,0.14911351434305378,True,0.5048559274420098,0.5046787148594377,0.9996420332511335,0.6707320327720103,0.5497633343797801,0.5475242070782679,0.5046787148594377,25133,24667,249177,125623,50.41516672887144
30,20,0.002,random_forest,400,10,0.3,0.14911351434305378,True,0.5048559274420098,0.5046787148594377,0.9996420332511335,0.6707320327720103,0.5497633343797801,0.5475242070782679,0.5046787148594377,25133,24667,249177,125623,50.41516672887144
30,20,0.002,random_forest,400,10,0.4,0.14911351434305378,True,0.5048559274420098,0.5046787148594377,0.9996420332511335,0.6707320327720103,0.5497633343797801,0.5475242070782679,0.5046787148594377,25133,24667,249177,125623,50.41516672887144
30,20,0.002,xgboost,400,10,0.4,0.004848903510719538,True,0.5044947427562405,0.5044947427562405,1.0,0.670650057350156,0.5461539265266797,0.542203208491173,0.5044947427562405,25142,24694,249177,125623,50.41516672887144
30,20,0.002,xgboost,200,10,0.2,0.014012300409376621,True,0.5044947427562405,0.5044947427562405,1.0,0.670650057350156,0.5414452228665227,0.5375871633212309,0.5044947427562405,25142,24694,249177,125623,50.41516672887144
30,20,0.002,xgboost,200,10,0.3,0.014012300409376621,True,0.5044947427562405,0.5044947427562405,1.0,0.670650057350156,0.5414452228665227,0.5375871633212309,0.5044947427562405,25142,24694,249177,125623,50.41516672887144
30,20,0.002,xgboost,200,10,0.4,0.014012300409376621,True,0.5044947427562405,0.5044947427562405,1.0,0.670650057350156,0.5414452228665227,0.5375871633212309,0.5044947427562405,25142,24694,249177,125623,50.41516672887144
30,20,0.002,xgboost,400,10,0.2,0.004848903510719538,True,0.5044947427562405,0.5044947427562405,1.0,0.670650057350156,0.5461539265266797,0.542203208491173,0.5044947427562405,25142,24694,249177,125623,50.41516672887144
30,20,0.002,xgboost,400,10,0.3,0.004848903510719538,True,0.5044947427562405,0.5044947427562405,1.0,0.670650057350156,0.5461539265266797,0.542203208491173,0.5044947427562405,25142,24694,249177,125623,50.41516672887144
40,20,0.002,random_forest,200,10,0.3,0.08973719673850482,True,0.5038739142845492,0.5038132137030995,1.0,0.6700475951564131,0.5594084948491675,0.5565402270246449,0.5038132137030995,24707,24333,245229,123579,50.39330584881886
40,20,0.002,random_forest,200,10,0.4,0.08973719673850483,True,0.5038739142845492,0.5038132137030995,1.0,0.6700475951564131,0.5594084948491675,0.5565402270246449,0.5038132137030995,24707,24333,245229,123579,50.39330584881886
40,20,0.002,random_forest,200,10,0.2,0.08973719673850483,True,0.5038739142845492,0.5038132137030995,1.0,0.6700475951564131,0.5594084948491675,0.5565402270246449,0.5038132137030995,24707,24333,245229,123579,50.39330584881886
40,20,0.002,random_forest,400,10,0.4,0.0848493745519105,True,0.5038331362394487,0.5037926675094817,1.0,0.6700294241277848,0.5596842240327354,0.557283025494879,0.5037926675094817,24707,24335,245229,123579,50.39330584881886
40,20,0.002,random_forest,400,10,0.3,0.0848493745519105,True,0.5038331362394487,0.5037926675094817,1.0,0.6700294241277848,0.5596842240327354,0.557283025494879,0.5037926675094817,24707,24335,245229,123579,50.39330584881886
40,20,0.002,random_forest,400,10,0.2,0.0848493745519105,True,0.5038331362394487,0.5037926675094817,1.0,0.6700294241277848,0.5596842240327354,0.557283025494879,0.5037926675094817,24707,24335,245229,123579,50.39330584881886
40,20,0.002,xgboost,200,10,0.4,0.021780241280794144,True,0.5038127472168984,0.5037823950410864,1.0,0.6700203389830508,0.5562521799410368,0.5497430802313087,0.5037823950410864,24707,24336,245229,123579,50.39330584881886
40,20,0.002,xgboost,200,10,0.3,0.021780241280794144,True,0.5038127472168984,0.5037823950410864,1.0,0.6700203389830508,0.5562521799410368,0.5497430802313087,0.5037823950410864,24707,24336,245229,123579,50.39330584881886
