window_size,horizon,buy_threshold,classifier,n_estimators,max_depth,min_precision,threshold,met_precision_req,accuracy,precision,recall,f1,roc_auc,pr_auc,win_rate,true_positives,false_positives,total_samples,buy_samples,buy_pct
40,14,0.002,random_forest,100,10,0.3,0.408115773997728,True,0.48551181686639705,0.4854736373418426,1.0,0.6536280754339953,0.518489327374091,0.5009857529551464,0.4854736373418426,26168,27734,269526,133360,49.47945652738511
40,14,0.002,xgboost,100,10,0.3,0.06540106981992722,True,0.48543761362371535,0.48543761362371535,1.0,0.6535954242325849,0.5145890458242287,0.4989352218126069,0.48543761362371535,26168,27738,269526,133360,49.47945652738511
30,14,0.002,xgboost,100,10,0.3,0.053100939840078354,True,0.4842529836452041,0.4842529836452041,1.0,0.6525208154959113,0.5181617655134964,0.5010039511060342,0.4842529836452041,26293,28003,271476,133775,49.276915823129855
30,14,0.002,random_forest,100,10,0.3,0.4068709044258276,True,0.4842529836452041,0.4842529836452041,1.0,0.6525208154959113,0.5162491548306123,0.49854987760956926,0.4842529836452041,26293,28003,271476,133775,49.276915823129855
20,14,0.002,xgboost,100,10,0.3,0.10133276879787445,True,0.48273781223713563,0.4827094343763144,1.0,0.6511180453631643,0.5067607551483185,0.4896900556778395,0.4827094343763144,26396,28287,273426,134179,49.073241023165316
20,14,0.002,random_forest,100,10,0.3,0.42878752509143053,True,0.4827560984529861,0.48271636549857344,0.9998863464161236,0.6511002565620683,0.5145650449089006,0.49634795411723437,0.48271636549857344,26393,28283,273426,134179,49.073241023165316
40,20,0.002,xgboost,100,10,0.3,0.08433064073324203,True,0.4821541201350499,0.4821445134959651,1.0,0.650603917641905,0.519942676515227,0.4982302854876564,0.4821445134959651,25990,27915,269526,133603,49.5696148052507
40,20,0.002,random_forest,100,10,0.3,0.357237885845358,True,0.48213556932437945,0.48213556932437945,1.0,0.6505957745068589,0.5219231858715816,0.49887315342679184,0.48213556932437945,25990,27916,269526,133603,49.5696148052507
30,20,0.002,random_forest,100,10,0.3,0.4017828053604099,True,0.48080889936643584,0.48080889936643584,1.0,0.6493868311733539,0.5203014699234085,0.49545269925057356,0.48080889936643584,26106,28190,271476,134074,49.3870544725869
30,20,0.002,xgboost,100,10,0.3,0.10318658500909805,True,0.48080889936643584,0.48080889936643584,1.0,0.6493868311733539,0.5148272139722773,0.4938372719915396,0.48080889936643584,26106,28190,271476,134074,49.3870544725869
40,8,0.002,random_forest,100,10,0.3,0.3818638930104511,True,0.47992802285459873,0.47992802285459873,1.0,0.6485829249031676,0.5158521753438886,0.4946002645810017,0.47992802285459873,25871,28035,269526,130822,48.53780340301122
40,8,0.002,xgboost,100,10,0.3,0.014147351495921612,True,0.47992802285459873,0.47992802285459873,1.0,0.6485829249031676,0.5091189892599132,0.49043787250679827,0.47992802285459873,25871,28035,269526,130822,48.53780340301122
20,20,0.002,xgboost,100,10,0.3,0.0681847482919693,True,0.4790074242036353,0.4790074242036353,1.0,0.6477417440437185,0.5098844748252646,0.4877993645988524,0.4790074242036353,26195,28491,273426,134389,49.150044253289735
20,20,0.002,random_forest,100,10,0.3,0.3488888754730473,True,0.4790074242036353,0.4790074242036353,1.0,0.6477417440437185,0.5152494853275379,0.48708253517194694,0.4790074242036353,26195,28491,273426,134389,49.150044253289735
30,8,0.002,random_forest,100,10,0.3,0.43094912188984474,True,0.4786724620598202,0.4785860334886805,1.0,0.6473563562067075,0.5150017960597852,0.4910413469818039,0.4785860334886805,25981,28306,271476,131276,48.35639246194876
30,8,0.002,xgboost,100,10,0.3,0.22655591368675232,True,0.4787645498747606,0.47862539156071493,0.9997690620068511,0.6473439583307373,0.5139468856073207,0.4915658663909636,0.47862539156071493,25975,28295,271476,131276,48.35639246194876
20,8,0.002,random_forest,100,10,0.3,0.44051015813988537,True,0.4774165234246425,0.4773097254485925,0.9999233628386405,0.6461717511885895,0.5198624568693639,0.495033434178179,0.4773097254485925,26095,28576,273426,131823,48.21158192710276
20,8,0.002,xgboost,100,10,0.3,0.16152144968509674,True,0.4773068061295396,0.477257347696472,0.9999233628386405,0.6461237526926982,0.5054837422052151,0.48393293372008533,0.477257347696472,26095,28582,273426,131823,48.21158192710276
