window_size,horizon,take_profit,stop_loss,classifier,n_estimators,max_depth,min_precision,threshold,met_constraints,accuracy,precision,recall,f1,roc_auc,pr_auc,win_rate,true_positives,false_positives,total_samples,buy_samples,buy_pct
30,9,0.01,0.008,random_forest,200,8,0.4,0.0036669645825895226,True,0.41756993779101315,0.41756993779101315,1.0,0.5891348661664041,0.5681504901649521,0.4659931942218271,0.41756993779101315,99276,138471,1188735,504304,42.42358473503346
30,9,0.01,0.008,xgboost,200,12,0.4,7.036577153485268e-05,True,0.41756993779101315,0.41756993779101315,1.0,0.5891348661664041,0.5865046523283497,0.49143567446294895,0.41756993779101315,99276,138471,1188735,504304,42.42358473503346
30,9,0.01,0.008,xgboost,200,12,0.35,7.036577153485268e-05,True,0.41756993779101315,0.41756993779101315,1.0,0.5891348661664041,0.5865046523283497,0.49143567446294895,0.41756993779101315,99276,138471,1188735,504304,42.42358473503346
30,9,0.01,0.008,xgboost,200,8,0.4,0.0001712422090349719,True,0.41756993779101315,0.41756993779101315,1.0,0.5891348661664041,0.5871473850220774,0.4886405267177402,0.41756993779101315,99276,138471,1188735,504304,42.42358473503346
30,9,0.01,0.008,xgboost,200,8,0.35,0.0001712422090349719,True,0.41756993779101315,0.41756993779101315,1.0,0.5891348661664041,0.5871473850220774,0.4886405267177402,0.41756993779101315,99276,138471,1188735,504304,42.42358473503346
30,9,0.01,0.008,random_forest,200,12,0.4,0.0004810965033899479,True,0.41756993779101315,0.41756993779101315,1.0,0.5891348661664041,0.5751520889336011,0.4746809384187383,0.41756993779101315,99276,138471,1188735,504304,42.42358473503346
30,9,0.01,0.008,random_forest,200,12,0.35,0.0004810965033899479,True,0.41756993779101315,0.41756993779101315,1.0,0.5891348661664041,0.5751520889336011,0.4746809384187384,0.41756993779101315,99276,138471,1188735,504304,42.42358473503346
30,9,0.01,0.008,random_forest,200,8,0.35,0.0036669645825895226,True,0.41756993779101315,0.41756993779101315,1.0,0.5891348661664041,0.5681504901649521,0.4659931942218271,0.41756993779101315,99276,138471,1188735,504304,42.42358473503346
21,9,0.01,0.008,xgboost,200,8,0.4,0.0006264120456762612,True,0.41733461490241963,0.41733461490241963,1.0,0.5889006174186358,0.5836292136543431,0.4836323903595981,0.41733461490241963,99864,139426,1196448,507107,42.384374414934875
21,9,0.01,0.008,random_forest,200,8,0.4,0.003371330805535423,True,0.41733461490241963,0.41733461490241963,1.0,0.5889006174186358,0.5679211702899087,0.46546880980445265,0.41733461490241963,99864,139426,1196448,507107,42.384374414934875
21,9,0.01,0.008,random_forest,200,8,0.35,0.0033713308055354223,True,0.41733461490241963,0.41733461490241963,1.0,0.5889006174186358,0.5679211702899087,0.46546880980445265,0.41733461490241963,99864,139426,1196448,507107,42.384374414934875
21,9,0.01,0.008,xgboost,200,8,0.35,0.0006264120456762612,True,0.41733461490241963,0.41733461490241963,1.0,0.5889006174186358,0.5836292136543431,0.4836323903595981,0.41733461490241963,99864,139426,1196448,507107,42.384374414934875
21,9,0.01,0.008,xgboost,200,12,0.35,0.0001711470540612936,True,0.41733461490241963,0.41733461490241963,1.0,0.5889006174186358,0.5813391059358408,0.48328927511769804,0.41733461490241963,99864,139426,1196448,507107,42.384374414934875
21,9,0.01,0.008,xgboost,200,12,0.4,0.0001711470540612936,True,0.41733461490241963,0.41733461490241963,1.0,0.5889006174186358,0.5813391059358408,0.48328927511769804,0.41733461490241963,99864,139426,1196448,507107,42.384374414934875
21,9,0.01,0.008,random_forest,200,12,0.4,0.000287815564166852,True,0.41733461490241963,0.41733461490241963,1.0,0.5889006174186358,0.5741802687094036,0.472861954423558,0.41733461490241963,99864,139426,1196448,507107,42.384374414934875
21,9,0.01,0.008,random_forest,200,12,0.35,0.000287815564166852,True,0.41733461490241963,0.41733461490241963,1.0,0.5889006174186358,0.5741802687094036,0.472861954423558,0.41733461490241963,99864,139426,1196448,507107,42.384374414934875
30,9,0.008,0.005,xgboost,200,8,0.4,0.6798916459083557,True,0.46736657034578777,0.40000104437551565,0.8671942217995743,0.5474745742118542,0.589438211733727,0.44381973124679247,0.40000104437551565,76601,114901,1188735,450137,37.86689211640946
21,9,0.008,0.005,xgboost,200,8,0.4,0.6881133913993835,True,0.4703330686614568,0.4,0.8537269073592488,0.544761001680962,0.5855484019006477,0.43812876117514954,0.4,75834,113751,1196448,452568,37.82596485597368
30,9,0.008,0.005,random_forest,200,12,0.4,0.45490929688463083,True,0.4717073191249522,0.4,0.8438165104378934,0.5427273256829964,0.5770192323473977,0.4295817281126013,0.4,74536,111804,1188735,450137,37.86689211640946
30,9,0.008,0.005,random_forest,200,8,0.35,0.006684612226451821,True,0.371537811202665,0.371537811202665,1.0,0.5417828195007958,0.570415596236271,0.4202991206874993,0.371537811202665,88332,149415,1188735,450137,37.86689211640946
30,9,0.008,0.005,random_forest,200,12,0.35,0.0007650002821219532,True,0.371537811202665,0.371537811202665,1.0,0.5417828195007958,0.5770192323473977,0.4295817281126014,0.371537811202665,88332,149415,1188735,450137,37.86689211640946
30,9,0.008,0.005,xgboost,200,8,0.35,0.00043443249887786806,True,0.371537811202665,0.371537811202665,1.0,0.5417828195007958,0.589438211733727,0.44381973124679247,0.371537811202665,88332,149415,1188735,450137,37.86689211640946
30,9,0.008,0.005,xgboost,200,12,0.35,8.884941053111106e-05,True,0.371537811202665,0.371537811202665,1.0,0.5417828195007958,0.5858869882659961,0.443206640377427,0.371537811202665,88332,149415,1188735,450137,37.86689211640946
21,9,0.008,0.005,random_forest,200,8,0.35,0.005220739870933998,True,0.37121066488361404,0.37121066488361404,1.0,0.541434914984594,0.5701103441010115,0.41846854882607126,0.37121066488361404,88827,150463,1196448,452568,37.82596485597368
21,9,0.008,0.005,random_forest,200,12,0.35,0.0005535904985719854,True,0.37121066488361404,0.37121066488361404,1.0,0.541434914984594,0.5760524094091075,0.4268822453183957,0.37121066488361404,88827,150463,1196448,452568,37.82596485597368
21,9,0.008,0.005,xgboost,200,12,0.35,0.00013491349818650633,True,0.37121066488361404,0.37121066488361404,1.0,0.541434914984594,0.5794159201828883,0.4350371192948194,0.37121066488361404,88827,150463,1196448,452568,37.82596485597368
21,9,0.008,0.005,xgboost,200,8,0.35,0.0011177090927958488,True,0.37121066488361404,0.37121066488361404,1.0,0.541434914984594,0.5855484019006477,0.43812876117514954,0.37121066488361404,88827,150463,1196448,452568,37.82596485597368
21,9,0.008,0.005,random_forest,200,12,0.4,0.4571103023485917,True,0.4734673408834469,0.4,0.8368401499544058,0.5412761867313279,0.5760524094091075,0.42688224531839564,0.4,74334,111501,1196448,452568,37.82596485597368
30,9,0.008,0.005,xgboost,200,12,0.4,0.585081160068512,True,0.47305749389056434,0.4,0.8365484762034144,0.5412151596494633,0.5858869882659961,0.443206640377427,0.4,73894,110841,1188735,450137,37.86689211640946
30,9,0.008,0.005,random_forest,200,8,0.4,0.4619803548912038,True,0.4758629972197336,0.4,0.8214463614545126,0.5380155116930879,0.570415596236271,0.4202991206874993,0.4,72560,108840,1188735,450137,37.86689211640946
21,9,0.008,0.005,xgboost,200,12,0.4,0.6093250513076782,True,0.47754607380166325,0.4000011052349453,0.8148761074898399,0.5365996500904427,0.5794159201828883,0.4350371192948194,0.4000011052349453,72383,108574,1196448,452568,37.82596485597368
21,9,0.008,0.005,random_forest,200,8,0.4,0.4648921199283941,True,0.47793472355719,0.4,0.8127708917333694,0.536141424418065,0.5701103441010115,0.41846854882607126,0.4,72196,108294,1196448,452568,37.82596485597368
