window_size,horizon,take_profit,stop_loss,classifier,n_estimators,max_depth,min_precision,min_recall,threshold,met_constraints,accuracy,precision,recall,f1,roc_auc,pr_auc,win_rate,true_positives,false_positives,total_samples,buy_samples,buy_pct
30,9,0.01,0.008,xgboost,200,8,0.48,0.05,0.7913793325424194,True,0.5650207994212335,0.48003049221772986,0.5010979491518595,0.49033803330557046,0.5871473850220774,0.4886405267177402,0.48003049221772986,49747,53886,1188735,504304,42.42358473503346
30,9,0.01,0.008,xgboost,200,12,0.48,0.05,0.7598448395729065,True,0.5650544486365758,0.48000271084045737,0.4994056972480761,0.4895120084911016,0.5865046523283497,0.49143567446294895,0.48000271084045737,49579,53710,1188735,504304,42.42358473503346
21,9,0.01,0.008,xgboost,200,8,0.48,0.05,0.7945282459259033,True,0.5663462743950854,0.48001433031373153,0.46958864055114957,0.47474425361537564,0.5836292136543431,0.4836323903595981,0.48001433031373153,46895,50800,1196448,507107,42.384374414934875
21,9,0.01,0.008,xgboost,200,12,0.48,0.05,0.7743308544158936,True,0.5671987964394668,0.4800461510259977,0.44579628294480494,0.46228771099100224,0.5813391059358408,0.48328927511769804,0.4800461510259977,44519,48220,1196448,507107,42.384374414934875
30,9,0.01,0.008,random_forest,200,12,0.48,0.05,0.5291692465298614,True,0.5704004677240933,0.4800027968116347,0.3457532535557436,0.4019650322625976,0.5751520889336011,0.4746809384187383,0.4800027968116347,34325,37185,1188735,504304,42.42358473503346
21,9,0.01,0.008,random_forest,200,12,0.48,0.05,0.5301604462954793,True,0.5715533453132182,0.48001683425771446,0.31979492109268604,0.38385768803149134,0.5741802687094036,0.472861954423558,0.48001683425771446,31936,34595,1196448,507107,42.384374414934875
30,9,0.01,0.008,random_forest,200,8,0.48,0.05,0.5325700411303251,True,0.5745309089073679,0.48000851607408984,0.22710423465893065,0.3083298004731753,0.5681504901649521,0.4659931942218271,0.48000851607408984,22546,24424,1188735,504304,42.42358473503346
30,9,0.008,0.005,xgboost,200,8,0.48,0.05,0.7960804104804993,True,0.6230783143425574,0.48000499875031244,0.17393470090114568,0.2553431942828652,0.589438211733727,0.44381973124679247,0.48000499875031244,15364,16644,1188735,450137,37.86689211640946
21,9,0.01,0.008,random_forest,200,8,0.48,0.05,0.5326269080898408,True,0.5767395210832045,0.4800067678077943,0.17045181446767604,0.2515702821335146,0.5679211702899087,0.46546880980445265,0.4800067678077943,17022,18440,1196448,507107,42.384374414934875
30,9,0.008,0.005,xgboost,200,12,0.48,0.05,0.7922681570053101,True,0.6235157541420081,0.48003802281368824,0.16007788796812028,0.24009236934152886,0.5858869882659961,0.443206640377427,0.48003802281368824,14140,15316,1188735,450137,37.86689211640946
21,9,0.008,0.005,xgboost,200,8,0.48,0.05,0.8003979921340942,True,0.6247565715240921,0.48000828672053036,0.13042205635673837,0.20511322391600714,0.5855484019006477,0.43812876117514954,0.48000828672053036,11585,12550,1196448,452568,37.82596485597368
21,9,0.008,0.005,xgboost,200,12,0.48,0.05,0.8051462173461914,True,0.6255380500647749,0.4800020563438207,0.10511443592601348,0.1724618808817961,0.5794159201828883,0.4350371192948194,0.4800020563438207,9337,10115,1196448,452568,37.82596485597368
