window_size,horizon,buy_threshold,classifier,n_estimators,max_depth,min_precision,threshold,met_precision_req,accuracy,precision,recall,f1,roc_auc,pr_auc,win_rate,true_positives,false_positives,total_samples,buy_samples,buy_pct
15,6,0.02,random_forest,100,10,0.5,0.6645050558348765,False,0.7579197051674116,0.4810810810810811,0.007211148922378869,0.014209307894946914,0.6278902687089193,0.3214399418620618,0.4810810810810811,89,96,255057,67157,26.33019285885116
20,6,0.015,random_forest,100,10,0.5,0.633804404138703,True,0.7040695377321217,0.5258620689655172,0.00407046576805018,0.008078400211892465,0.6043563729208008,0.3656648143160119,0.5258620689655172,61,55,253097,79827,31.540081470740468
20,6,0.02,random_forest,100,10,0.5,0.6670695706423743,False,0.7565784274990123,0.44680851063829785,0.0017049606235284567,0.003396958912973148,0.62909242888877,0.3242148841368605,0.44680851063829785,21,26,253097,66880,26.424651418230955
15,6,0.015,random_forest,100,10,0.5,0.7372968963828128,True,0.7055006665098408,0.5,6.656460094521733e-05,0.0001331114808652246,0.6025392110102233,0.3605661163858381,0.5,1,1,255057,80159,31.427876905946512
