window_size,horizon,buy_threshold,classifier,n_estimators,max_depth,min_precision,threshold,met_precision_req,accuracy,precision,recall,f1,roc_auc,pr_auc,win_rate,true_positives,false_positives,total_samples,buy_samples,buy_pct
15,4,0.002,random_forest,100,10,0.5,0.5121992072959506,True,0.5298104956268221,0.5,0.20523949775228648,0.29102099131772724,0.5202471792341941,0.4892468842635334,0.5,5296,5296,274400,128389,46.78899416909621
20,4,0.002,random_forest,100,10,0.5,0.515835846282463,True,0.5298979629155542,0.5001499700059988,0.1297160637884092,0.20600407684230032,0.5178336378812998,0.4857508586742417,0.5001499700059988,3335,3333,273426,127870,46.76585255242735
15,3,0.002,random_forest,100,10,0.5,0.5177598865788797,True,0.5349672011661808,0.500108154877785,0.09058851187211034,0.15339193896168518,0.5149340827490925,0.4797425598320032,0.500108154877785,2312,2311,274400,126640,46.15160349854228
20,2,0.002,random_forest,100,10,0.5,0.5199233197195793,True,0.5433931902132173,0.5001397038278849,0.07168315245684995,0.12539404553415062,0.5136756537634135,0.4717559864381917,0.5001397038278849,1790,1789,273426,123251,45.07654721935734
30,4,0.002,random_forest,100,10,0.5,0.5264955937356018,True,0.5290076617062031,0.5,0.06671098424119189,0.11771606003105055,0.5127271408488492,0.4821692474284019,0.5,1706,1706,271476,127233,46.86712637581223
20,3,0.002,random_forest,100,10,0.5,0.5207371358953029,True,0.5351826792963464,0.5003304692663583,0.059557059124346015,0.10644356171125251,0.513650557215164,0.4765493157263508,0.5003304692663583,1514,1512,273426,126123,46.126922823725614
30,4,0.002,xgboost,100,10,0.5,0.8610662221908569,True,0.5290076617062031,0.5,0.04649434950924804,0.08507745697828342,0.5092038001453165,0.4799822537255879,0.5,1189,1189,271476,127233,46.86712637581223
15,2,0.002,random_forest,100,10,0.5,0.5245312256778569,True,0.5430940233236151,0.5,0.03437686939182453,0.06433075861039592,0.5139667459624148,0.470131246439278,0.5,862,862,274400,123754,45.09985422740525
30,2,0.002,xgboost,100,10,0.5,0.8507816195487976,True,0.5428576690732282,0.5,0.033922887877200755,0.06353518204112432,0.510206487782463,0.46823708881798554,0.5,842,842,271476,122570,45.14947914364437
15,3,0.002,xgboost,100,10,0.5,0.8548022508621216,True,0.5349489795918367,0.5,0.03134550583810046,0.05899269965341789,0.5016614530126058,0.46932886728448425,0.5,800,800,274400,126640,46.15160349854228
15,4,0.002,xgboost,100,10,0.5,0.8606565594673157,True,0.5298287172011662,0.5003750937734434,0.02584870562703457,0.049157976194863104,0.5081941231675917,0.478921956012879,0.5003750937734434,667,666,274400,128389,46.78899416909621
30,3,0.002,random_forest,100,10,0.5,0.5532329982096728,True,0.5345329306026226,0.5006353240152478,0.015589142992798923,0.03023675223514063,0.5109110823071917,0.47456167461867915,0.5006353240152478,394,393,271476,125440,46.20666283575712
20,4,0.002,xgboost,100,10,0.5,0.8701216578483582,True,0.5298613904838533,0.5,0.015169194865810968,0.02944507361268403,0.5069681972081241,0.4764971164133466,0.5,390,390,273426,127870,46.76585255242735
20,2,0.002,xgboost,100,10,0.5,0.8617197275161743,True,0.5433931902132173,0.5008431703204047,0.01189379680429298,0.02323580034423408,0.5072673377341846,0.46264187771487225,0.5008431703204047,297,296,273426,123251,45.07654721935734
15,1,0.002,random_forest,100,10,0.5,0.5320955967905389,True,0.5664905247813411,0.500945179584121,0.011138197713517149,0.021791867110727354,0.5151063584367832,0.446672360675341,0.500945179584121,265,264,274400,115406,42.05758017492711
30,2,0.002,random_forest,100,10,0.5,0.5512570008716134,True,0.5428760866362163,0.5009140767824497,0.01103903952298457,0.021602018290760014,0.5117724966741513,0.46760781962018405,0.5009140767824497,274,273,271476,122570,45.14947914364437
20,1,0.002,random_forest,100,10,0.5,0.5350421669456313,True,0.566653256775043,0.5,0.007722170647312009,0.015209441489361703,0.5095359453145424,0.4430133046879596,0.5,183,183,273426,114939,42.036602225099294
20,3,0.002,xgboost,100,10,0.5,0.8732889294624329,True,0.5351461068646455,0.5,0.007552810668345069,0.014880837047083898,0.5081391459064616,0.4706463016652185,0.5,192,192,273426,126123,46.126922823725614
15,1,0.002,xgboost,100,10,0.5,0.8478171229362488,True,0.5664905247813411,0.5014409221902018,0.007313382649630128,0.014416504411947471,0.5076708619149458,0.44220383947532005,0.5014409221902018,174,173,274400,115406,42.05758017492711
30,1,0.002,random_forest,100,10,0.5,0.5581676944067682,True,0.5663216443200235,0.5066079295154186,0.004883227176220807,0.009673213609790975,0.5135266507317058,0.44430017430211116,0.5066079295154186,115,112,271476,114242,42.081804653081676
30,3,0.002,xgboost,100,10,0.5,0.8968991637229919,True,0.5345145130396346,0.5,0.002453113871963282,0.004882274194818489,0.5123951818167298,0.47372167382201225,0.5,62,62,271476,125440,46.20666283575712
30,1,0.002,xgboost,100,10,0.5,0.8617877960205078,True,0.5663032267570355,0.5089285714285714,0.0024203821656050956,0.004817851407319753,0.5083266723594997,0.44127877223449385,0.5089285714285714,57,55,271476,114242,42.081804653081676
15,2,0.002,xgboost,100,10,0.5,0.8919989466667175,True,0.5431304664723032,0.5238095238095238,0.0008773678963110668,0.0017518015686586773,0.5056027154236,0.4618619283557778,0.5238095238095238,22,20,274400,123754,45.09985422740525
20,1,0.002,xgboost,100,10,0.5,0.8761828541755676,True,0.5666715429908935,0.5172413793103449,0.0006329648071567221,0.0012643823492224048,0.504805922357646,0.4382453458747152,0.5172413793103449,15,14,273426,114939,42.036602225099294
