window_size,horizon,take_profit,stop_loss,classifier,n_estimators,max_depth,min_precision,threshold,met_constraints,accuracy,precision,recall,f1,roc_auc,pr_auc,win_rate,true_positives,false_positives,total_samples,buy_samples,buy_pct
30,12,0.02,0.015,xgboost,200,8,0.5,0.8195200562477112,True,0.5919824138742202,0.5000319509233817,0.15556350768374386,0.23730098559514784,0.5739639694125636,0.46664724640996214,0.5000319509233817,7825,7824,616392,249022,40.39994029773261
30,9,0.02,0.015,xgboost,200,8,0.5,0.8177453279495239,True,0.6070944767559763,0.5001172516219807,0.13208092485549133,0.20897228618555355,0.5840093171546927,0.4586653969478979,0.5001172516219807,6398,6395,616392,237412,38.516398655401105
30,12,0.02,0.015,xgboost,200,12,0.5,0.8187596201896667,True,0.5919743021925875,0.5,0.12407308005805054,0.1988117802589873,0.5707811316852024,0.4651854306893739,0.5,6241,6241,616392,249022,40.39994029773261
21,12,0.02,0.015,xgboost,200,8,0.5,0.824282705783844,True,0.5920646559712497,0.5,0.11500019752696243,0.18699213104223542,0.5714723565098236,0.46264876506474767,0.5,5822,5822,620514,250614,40.38812984074493
21,12,0.02,0.015,xgboost,200,12,0.5,0.8239675760269165,True,0.5920646559712497,0.5,0.10348437561727175,0.17147813563760148,0.5663940574504367,0.4590690608677821,0.5,5239,5239,620514,250614,40.38812984074493
21,9,0.02,0.015,xgboost,200,12,0.5,0.8207798600196838,True,0.6070924957494984,0.5,0.09339431102725539,0.15738996699441843,0.575563962746044,0.4511835676401056,0.5,4554,4554,620514,238935,38.50598052582214
21,9,0.02,0.015,xgboost,200,8,0.5,0.8243563175201416,True,0.6071327848641854,0.5002832861189802,0.09054367219704272,0.15333588024867156,0.581542955316173,0.45445586239564745,0.5002832861189802,4415,4410,620514,238935,38.50598052582214
30,9,0.02,0.015,xgboost,200,12,0.5,0.8258978128433228,True,0.6070782533927108,0.5000616903146206,0.08367052023121388,0.14335485011937396,0.578786347955378,0.45222842807879604,0.5000616903146206,4053,4052,616392,237412,38.516398655401105
30,6,0.02,0.015,xgboost,200,12,0.5,0.8167885541915894,True,0.6382757809521492,0.5000745045447772,0.07525676099923756,0.13082545560861514,0.59926655633304,0.4372004199240154,0.5000745045447772,3356,3355,616392,215368,34.940103051305016
30,12,0.02,0.015,random_forest,200,12,0.5,0.5595346231233365,True,0.5919743021925875,0.5,0.07377586926701259,0.12857959565511148,0.5697245730691645,0.4593642388755228,0.5,3711,3711,616392,249022,40.39994029773261
