window_size,horizon,take_profit,stop_loss,classifier,n_estimators,max_depth,min_precision,threshold,met_constraints,accuracy,precision,recall,f1,roc_auc,pr_auc,win_rate,true_positives,false_positives,total_samples,buy_samples,buy_pct
30,9,0.01,0.008,random_forest,200,8,0.4,0.004124693121220851,True,0.41756993779101315,0.41756993779101315,1.0,0.5891348661664041,0.5682254444435805,0.46640526852013514,0.41756993779101315,99276,138471,1188735,504304,42.42358473503346
30,9,0.01,0.008,xgboost,200,12,0.4,0.00015716133930254728,True,0.41756993779101315,0.41756993779101315,1.0,0.5891348661664041,0.58417535041575,0.48849454187944985,0.41756993779101315,99276,138471,1188735,504304,42.42358473503346
30,9,0.01,0.008,xgboost,200,12,0.35,0.00015716133930254728,True,0.41756993779101315,0.41756993779101315,1.0,0.5891348661664041,0.58417535041575,0.48849454187944985,0.41756993779101315,99276,138471,1188735,504304,42.42358473503346
30,9,0.01,0.008,xgboost,200,8,0.4,0.0002848490548785776,True,0.41756993779101315,0.41756993779101315,1.0,0.5891348661664041,0.5869453606960041,0.4888715866885039,0.41756993779101315,99276,138471,1188735,504304,42.42358473503346
30,9,0.01,0.008,xgboost,200,8,0.35,0.0002848490548785776,True,0.41756993779101315,0.41756993779101315,1.0,0.5891348661664041,0.5869453606960041,0.4888715866885039,0.41756993779101315,99276,138471,1188735,504304,42.42358473503346
30,9,0.01,0.008,random_forest,200,12,0.4,0.00046647067580609487,True,0.41756993779101315,0.41756993779101315,1.0,0.5891348661664041,0.5750191537957814,0.47457444354940115,0.41756993779101315,99276,138471,1188735,504304,42.42358473503346
30,9,0.01,0.008,random_forest,200,12,0.35,0.00046647067580609476,True,0.41756993779101315,0.41756993779101315,1.0,0.5891348661664041,0.5750191537957814,0.47457444354940115,0.41756993779101315,99276,138471,1188735,504304,42.42358473503346
30,9,0.01,0.008,random_forest,200,8,0.35,0.0041246931212208515,True,0.41756993779101315,0.41756993779101315,1.0,0.5891348661664041,0.5682254444435805,0.46640526852013514,0.41756993779101315,99276,138471,1188735,504304,42.42358473503346
21,9,0.01,0.008,xgboost,200,8,0.4,0.0003704995906446129,True,0.41733461490241963,0.41733461490241963,1.0,0.5889006174186358,0.5833513067608851,0.48306656381575314,0.41733461490241963,99864,139426,1196448,507107,42.384374414934875
21,9,0.01,0.008,random_forest,200,12,0.35,0.0003609065661739562,True,0.41733461490241963,0.41733461490241963,1.0,0.5889006174186358,0.5740855062634153,0.4724917706684785,0.41733461490241963,99864,139426,1196448,507107,42.384374414934875
