window_size,horizon,take_profit,stop_loss,classifier,n_estimators,max_depth,min_precision,threshold,met_constraints,accuracy,precision,recall,f1,roc_auc,pr_auc,win_rate,true_positives,false_positives,total_samples,buy_samples,buy_pct
30,12,0.01,0.008,random_forest,200,8,0.4,0.00405503029900665,True,0.43620660958334107,0.43620660958334107,1.0,0.6074426989441154,0.546706662367689,0.4718451316823422,0.43620660958334107,23587,30486,270365,116770,43.18976198842306
30,12,0.01,0.008,xgboost,200,12,0.4,0.0011575993848964572,True,0.43620660958334107,0.43620660958334107,1.0,0.6074426989441154,0.5482381599598913,0.4769783017982254,0.43620660958334107,23587,30486,270365,116770,43.18976198842306
30,12,0.01,0.008,xgboost,200,12,0.35,0.0011575993848964572,True,0.43620660958334107,0.43620660958334107,1.0,0.6074426989441154,0.5482381599598913,0.4769783017982254,0.43620660958334107,23587,30486,270365,116770,43.18976198842306
30,12,0.01,0.008,xgboost,200,8,0.4,0.0009749477030709386,True,0.43620660958334107,0.43620660958334107,1.0,0.6074426989441154,0.5524925844762509,0.4810313428527214,0.43620660958334107,23587,30486,270365,116770,43.18976198842306
30,12,0.01,0.008,xgboost,200,8,0.35,0.0009749477030709386,True,0.43620660958334107,0.43620660958334107,1.0,0.6074426989441154,0.5524925844762509,0.4810313428527214,0.43620660958334107,23587,30486,270365,116770,43.18976198842306
30,12,0.01,0.008,random_forest,200,12,0.4,0.0001122017755182158,True,0.43620660958334107,0.43620660958334107,1.0,0.6074426989441154,0.5528129329105014,0.47970601666391144,0.43620660958334107,23587,30486,270365,116770,43.18976198842306
30,12,0.01,0.008,random_forest,200,12,0.35,0.0001122017755182158,True,0.43620660958334107,0.43620660958334107,1.0,0.6074426989441154,0.5528129329105014,0.47970601666391144,0.43620660958334107,23587,30486,270365,116770,43.18976198842306
30,12,0.01,0.008,random_forest,200,8,0.35,0.00405503029900665,True,0.43620660958334107,0.43620660958334107,1.0,0.6074426989441154,0.546706662367689,0.4718451316823422,0.43620660958334107,23587,30486,270365,116770,43.18976198842306
21,12,0.01,0.008,random_forest,200,8,0.4,0.007454359232869825,True,0.43567412633667735,0.43567412633667735,1.0,0.6069262074790754,0.5446685874609837,0.4684623049959725,0.43567412633667735,23712,30714,272129,117414,43.14644892679575
21,12,0.01,0.008,random_forest,200,12,0.4,0.00106339394503547,True,0.43567412633667735,0.43567412633667735,1.0,0.6069262074790754,0.5509316141333342,0.47524198633496617,0.43567412633667735,23712,30714,272129,117414,43.14644892679575
21,12,0.01,0.008,random_forest,200,12,0.35,0.00106339394503547,True,0.43567412633667735,0.43567412633667735,1.0,0.6069262074790754,0.5509316141333342,0.47524198633496617,0.43567412633667735,23712,30714,272129,117414,43.14644892679575
21,12,0.01,0.008,xgboost,200,12,0.4,0.0006580937770195305,True,0.43567412633667735,0.43567412633667735,1.0,0.6069262074790754,0.5472703381956577,0.4756106176174674,0.43567412633667735,23712,30714,272129,117414,43.14644892679575
21,12,0.01,0.008,xgboost,200,8,0.35,0.0013863662024959922,True,0.43567412633667735,0.43567412633667735,1.0,0.6069262074790754,0.5513213021100947,0.4761588302765416,0.43567412633667735,23712,30714,272129,117414,43.14644892679575
21,12,0.01,0.008,random_forest,200,8,0.35,0.007454359232869825,True,0.43567412633667735,0.43567412633667735,1.0,0.6069262074790754,0.5446685874609837,0.4684623049959725,0.43567412633667735,23712,30714,272129,117414,43.14644892679575
21,12,0.01,0.008,xgboost,200,8,0.4,0.0013863662024959922,True,0.43567412633667735,0.43567412633667735,1.0,0.6069262074790754,0.5513213021100947,0.4761588302765416,0.43567412633667735,23712,30714,272129,117414,43.14644892679575
21,12,0.01,0.008,xgboost,200,12,0.35,0.0006580937770195305,True,0.43567412633667735,0.43567412633667735,1.0,0.6069262074790754,0.5472703381956577,0.4756106176174674,0.43567412633667735,23712,30714,272129,117414,43.14644892679575
30,9,0.01,0.008,xgboost,200,8,0.4,0.0011832347372546792,True,0.4325263994969763,0.4325263994969763,1.0,0.6038651708601748,0.5547149399748444,0.4773687638916393,0.4325263994969763,23388,30685,270365,115264,42.632737225602426
30,9,0.01,0.008,random_forest,200,8,0.35,0.003490673866552878,True,0.4325263994969763,0.4325263994969763,1.0,0.6038651708601748,0.5439465439368165,0.4662364111413173,0.4325263994969763,23388,30685,270365,115264,42.632737225602426
30,9,0.01,0.008,xgboost,200,8,0.35,0.0011832347372546792,True,0.4325263994969763,0.4325263994969763,1.0,0.6038651708601748,0.5547149399748444,0.4773687638916393,0.4325263994969763,23388,30685,270365,115264,42.632737225602426
30,9,0.01,0.008,random_forest,200,12,0.4,0.00021159177742530074,True,0.4325263994969763,0.4325263994969763,1.0,0.6038651708601748,0.5489356517434323,0.47128801036131934,0.4325263994969763,23388,30685,270365,115264,42.632737225602426
30,9,0.01,0.008,random_forest,200,12,0.35,0.00021159177742530077,True,0.4325263994969763,0.4325263994969763,1.0,0.6038651708601748,0.5489356517434323,0.47128801036131934,0.4325263994969763,23388,30685,270365,115264,42.632737225602426
30,9,0.01,0.008,random_forest,200,8,0.4,0.003490673866552877,True,0.4325263994969763,0.4325263994969763,1.0,0.6038651708601748,0.5439465439368165,0.4662364111413173,0.4325263994969763,23388,30685,270365,115264,42.632737225602426
30,9,0.01,0.008,xgboost,200,12,0.4,0.0009319613454863429,True,0.4325263994969763,0.4325263994969763,1.0,0.6038651708601748,0.549746437307052,0.4737442048798911,0.4325263994969763,23388,30685,270365,115264,42.632737225602426
30,9,0.01,0.008,xgboost,200,12,0.35,0.0009319613454863429,True,0.4325263994969763,0.4325263994969763,1.0,0.6038651708601748,0.549746437307052,0.4737442048798911,0.4325263994969763,23388,30685,270365,115264,42.632737225602426
21,9,0.01,0.008,xgboost,200,12,0.4,0.0007388247759081423,True,0.43201778561716825,0.43201778561716825,1.0,0.6033693016333286,0.5480262345665233,0.47009259800696956,0.43201778561716825,23513,30913,272129,115891,42.586787883687514
21,9,0.01,0.008,random_forest,200,8,0.35,0.005295338385957547,True,0.43201778561716825,0.43201778561716825,1.0,0.6033693016333286,0.5418475835800463,0.4620182202953348,0.43201778561716825,23513,30913,272129,115891,42.586787883687514
21,9,0.01,0.008,random_forest,200,8,0.4,0.005295338385957547,True,0.43201778561716825,0.43201778561716825,1.0,0.6033693016333286,0.5418475835800463,0.4620182202953348,0.43201778561716825,23513,30913,272129,115891,42.586787883687514
21,9,0.01,0.008,random_forest,200,12,0.35,0.0006328618429258403,True,0.43201778561716825,0.43201778561716825,1.0,0.6033693016333286,0.5482643390521917,0.467940479908367,0.43201778561716825,23513,30913,272129,115891,42.586787883687514
21,9,0.01,0.008,random_forest,200,12,0.4,0.0006328618429258403,True,0.43201778561716825,0.43201778561716825,1.0,0.6033693016333286,0.5482643390521917,0.46794047990836696,0.43201778561716825,23513,30913,272129,115891,42.586787883687514
21,9,0.01,0.008,xgboost,200,8,0.35,0.00101229187566787,True,0.43201778561716825,0.43201778561716825,1.0,0.6033693016333286,0.5515234131168312,0.47333402926688734,0.43201778561716825,23513,30913,272129,115891,42.586787883687514
21,9,0.01,0.008,xgboost,200,8,0.4,0.00101229187566787,True,0.43201778561716825,0.43201778561716825,1.0,0.6033693016333286,0.5515234131168312,0.47333402926688734,0.43201778561716825,23513,30913,272129,115891,42.586787883687514
21,9,0.01,0.008,xgboost,200,12,0.35,0.0007388247759081423,True,0.43201778561716825,0.43201778561716825,1.0,0.6033693016333286,0.5480262345665233,0.47009259800696956,0.43201778561716825,23513,30913,272129,115891,42.586787883687514
30,6,0.01,0.008,random_forest,200,8,0.35,0.007695335898964721,True,0.4229282636435929,0.4229282636435929,1.0,0.594447765849601,0.5416347729396174,0.45506901702919905,0.4229282636435929,22869,31204,270365,112102,41.46320714589537
30,6,0.01,0.008,xgboost,200,8,0.4,0.0007804935448803008,True,0.4229282636435929,0.4229282636435929,1.0,0.594447765849601,0.5525640964628973,0.4667138286902013,0.4229282636435929,22869,31204,270365,112102,41.46320714589537
30,6,0.01,0.008,random_forest,200,8,0.4,0.0076953358989647214,True,0.4229282636435929,0.4229282636435929,1.0,0.594447765849601,0.5416347729396174,0.45506901702919905,0.4229282636435929,22869,31204,270365,112102,41.46320714589537
30,6,0.01,0.008,random_forest,200,12,0.35,0.0009191988316482987,True,0.4229282636435929,0.4229282636435929,1.0,0.594447765849601,0.5486573527762886,0.46233020321736773,0.4229282636435929,22869,31204,270365,112102,41.46320714589537
30,6,0.01,0.008,random_forest,200,12,0.4,0.0009191988316482987,True,0.4229282636435929,0.4229282636435929,1.0,0.594447765849601,0.5486573527762886,0.46233020321736773,0.4229282636435929,22869,31204,270365,112102,41.46320714589537
30,6,0.01,0.008,xgboost,200,8,0.35,0.0007804935448803008,True,0.4229282636435929,0.4229282636435929,1.0,0.594447765849601,0.5525640964628973,0.4667138286902013,0.4229282636435929,22869,31204,270365,112102,41.46320714589537
30,6,0.01,0.008,xgboost,200,12,0.35,0.0004336517595220357,True,0.4229282636435929,0.4229282636435929,1.0,0.594447765849601,0.5523121395926164,0.4685042969420626,0.4229282636435929,22869,31204,270365,112102,41.46320714589537
30,6,0.01,0.008,xgboost,200,12,0.4,0.0004336517595220357,True,0.4229282636435929,0.4229282636435929,1.0,0.594447765849601,0.5523121395926164,0.4685042969420626,0.4229282636435929,22869,31204,270365,112102,41.46320714589537
21,6,0.01,0.008,xgboost,200,8,0.4,0.0009273540345020592,True,0.42244515488920736,0.42244515488920736,1.0,0.5939703944819035,0.5502401172958339,0.4600859056194374,0.42244515488920736,22992,31434,272129,112711,41.41822444502423
21,6,0.01,0.008,random_forest,200,12,0.35,0.00207583191854125,True,0.42244515488920736,0.42244515488920736,1.0,0.5939703944819035,0.546121508236608,0.4574334122004691,0.42244515488920736,22992,31434,272129,112711,41.41822444502423
21,6,0.01,0.008,random_forest,200,8,0.35,0.011301281323117463,True,0.42244515488920736,0.42244515488920736,1.0,0.5939703944819035,0.5409744100362673,0.45268332549917834,0.42244515488920736,22992,31434,272129,112711,41.41822444502423
21,6,0.01,0.008,xgboost,200,12,0.4,0.00046408671187236905,True,0.42244515488920736,0.42244515488920736,1.0,0.5939703944819035,0.545325270250657,0.45921049099840294,0.42244515488920736,22992,31434,272129,112711,41.41822444502423
21,6,0.01,0.008,xgboost,200,12,0.35,0.00046408671187236905,True,0.42244515488920736,0.42244515488920736,1.0,0.5939703944819035,0.545325270250657,0.45921049099840294,0.42244515488920736,22992,31434,272129,112711,41.41822444502423
21,6,0.01,0.008,random_forest,200,8,0.4,0.011301281323117465,True,0.42244515488920736,0.42244515488920736,1.0,0.5939703944819035,0.5409744100362673,0.45268332549917834,0.42244515488920736,22992,31434,272129,112711,41.41822444502423
21,6,0.01,0.008,xgboost,200,8,0.35,0.0009273540345020592,True,0.42244515488920736,0.42244515488920736,1.0,0.5939703944819035,0.5502401172958339,0.4600859056194374,0.42244515488920736,22992,31434,272129,112711,41.41822444502423
21,6,0.01,0.008,random_forest,200,12,0.4,0.0020758319185412498,True,0.42244515488920736,0.42244515488920736,1.0,0.5939703944819035,0.546121508236608,0.4574334122004691,0.42244515488920736,22992,31434,272129,112711,41.41822444502423
30,12,0.008,0.005,xgboost,200,12,0.35,0.0009166481322608888,True,0.3881604497623583,0.3881604497623583,1.0,0.5592443579973888,0.5514896710639184,0.4326180740143369,0.3881604497623583,20989,33084,270365,104553,38.67105579494387
30,12,0.008,0.005,xgboost,200,8,0.35,0.0023115549702197313,True,0.3881604497623583,0.3881604497623583,1.0,0.5592443579973888,0.553867634513335,0.43211201278701084,0.3881604497623583,20989,33084,270365,104553,38.67105579494387
30,12,0.008,0.005,random_forest,200,12,0.35,0.0015502466157812428,True,0.3881604497623583,0.3881604497623583,1.0,0.5592443579973888,0.5561622778393821,0.43579025822347545,0.3881604497623583,20989,33084,270365,104553,38.67105579494387
30,12,0.008,0.005,random_forest,200,8,0.35,0.006672352224192371,True,0.3881604497623583,0.3881604497623583,1.0,0.5592443579973888,0.5518479580350737,0.43153756663136095,0.3881604497623583,20989,33084,270365,104553,38.67105579494387
21,12,0.008,0.005,random_forest,200,12,0.35,0.0001943554943836455,True,0.3876823576966891,0.3876823576966891,1.0,0.5587479808277944,0.5582890989572208,0.4349671333334775,0.3876823576966891,21100,33326,272129,105111,38.62543132117489
21,12,0.008,0.005,xgboost,200,8,0.35,0.001596891786903143,True,0.3876823576966891,0.3876823576966891,1.0,0.5587479808277944,0.5564453511526091,0.4320236122123169,0.3876823576966891,21100,33326,272129,105111,38.62543132117489
