window_size,horizon,take_profit,stop_loss,classifier,n_estimators,max_depth,min_precision,threshold,met_constraints,accuracy,precision,recall,f1,roc_auc,pr_auc,win_rate,true_positives,false_positives,total_samples,buy_samples,buy_pct
30,12,0.01,0.008,xgboost,200,12,0.5,0.7767515778541565,True,0.5803334500163733,0.5002496802041221,0.49168313902671884,0.4959294183866188,0.6071478828083917,0.519023282650338,0.5002496802041221,73130,73057,1771179,757634,42.775687832793864
30,12,0.01,0.008,xgboost,200,8,0.5,0.7987786531448364,True,0.5801273727119773,0.5,0.47734882407519463,0.4884119285935404,0.6048990665608479,0.5115855426894075,0.5,70998,70998,1771179,757634,42.775687832793864
30,9,0.01,0.008,xgboost,200,12,0.5,0.780036211013794,True,0.5847993992705428,0.5,0.46375757246105836,0.48119733189416464,0.6093524715581455,0.5139020388199688,0.5,68209,68209,1771179,749264,42.30312125426058
21,12,0.01,0.008,xgboost,200,12,0.5,0.7881734371185303,True,0.5804128337446713,0.5000112672670868,0.4449271778144655,0.4708636910235552,0.6019129611488613,0.5106768821570862,0.5000112672670868,66566,66563,1782798,761927,42.73770780537111
21,12,0.01,0.008,xgboost,200,8,0.5,0.8032273650169373,True,0.5804044200134619,0.5,0.43501480506112516,0.4652491091118998,0.6001579071211554,0.5051119958059235,0.5,65083,65083,1782798,761927,42.73770780537111
30,9,0.01,0.008,xgboost,200,8,0.5,0.8009011149406433,True,0.5848276290382682,0.5000396680576932,0.42853160546373037,0.4615322654462243,0.6047664291546732,0.5052147785103455,0.5000396680576932,63028,63018,1771179,749264,42.30312125426058
21,9,0.01,0.008,xgboost,200,12,0.5,0.7901232838630676,True,0.585138546107247,0.5000950028500855,0.40917632109012747,0.45009015037454225,0.6029981964378862,0.5058507122470338,0.5000950028500855,60536,60513,1782798,753484,42.26412639009018
21,9,0.01,0.008,xgboost,200,8,0.5,0.8037809133529663,True,0.5850768454117119,0.5000042788070685,0.3949278790910197,0.4412974271245199,0.601380049885786,0.5001793722429689,0.5000042788070685,58428,58427,1782798,753484,42.26412639009018
30,6,0.01,0.008,xgboost,200,12,0.5,0.788167417049408,True,0.5958569992886098,0.5,0.3699445383551501,0.4252507166199626,0.6089819239611738,0.5001317242282232,0.5,52962,52962,1771179,730105,41.22141240382818
30,6,0.01,0.008,xgboost,200,8,0.5,0.8028537631034851,True,0.5958654682189275,0.500015323791719,0.3418854165211439,0.4061000045633875,0.6066411807500225,0.49257695502470916,0.500015323791719,48945,48942,1771179,730105,41.22141240382818
21,6,0.01,0.008,xgboost,200,12,0.5,0.7975124716758728,True,0.5961268790666368,0.5000325542027476,0.3199755574226969,0.3902356403362056,0.6037056931266094,0.4925279893657785,0.5000325542027476,46080,46074,1782798,734200,41.182455892366946
21,6,0.01,0.008,xgboost,200,8,0.5,0.8052692413330078,True,0.596110051604218,0.5,0.30263660414829424,0.3770530805400191,0.6020596239677164,0.48652214976186087,0.5,43583,43583,1782798,734200,41.182455892366946
30,12,0.01,0.008,random_forest,200,12,0.5,0.536339615527652,True,0.5801273727119773,0.5,0.26622695550445763,0.347451826892703,0.5846723328408555,0.488678803570075,0.5,39597,39597,1771179,757634,42.775687832793864
30,9,0.01,0.008,random_forest,200,12,0.5,0.5350718244172864,True,0.5847993992705428,0.5,0.2648712596631742,0.34629521807345115,0.5856632856268504,0.4835147028559608,0.5,38957,38957,1771179,749264,42.30312125426058
30,12,0.008,0.005,xgboost,200,12,0.5,0.7850728631019592,True,0.62522724963019,0.5,0.2504557164163365,0.3337381686055265,0.6047434787404891,0.47373803964192523,0.5,33250,33250,1771179,676886,38.21669069021256
21,12,0.01,0.008,random_forest,200,12,0.5,0.5368443106636055,True,0.5804072245905317,0.5000068852504166,0.24269605844490044,0.32677856275030376,0.5830479149667884,0.4858801186212404,0.5000068852504166,36310,36309,1782798,761927,42.73770780537111
30,12,0.01,0.008,xgboost,200,12,0.55,0.8196919560432434,True,0.5978782506577536,0.5500461621724874,0.2323275108583108,0.3266747338766095,0.6071478828083917,0.519023282650338,0.5500461621724874,34555,28267,1771179,757634,42.775687832793864
30,9,0.008,0.005,xgboost,200,12,0.5,0.7857095003128052,True,0.6275420905836787,0.5000157937961969,0.239949977262392,0.32428196828778627,0.6059866721110799,0.470089835122966,0.5000157937961969,31659,31657,1771179,672995,37.99700651374028
21,9,0.01,0.008,random_forest,200,12,0.5,0.5353681995148516,True,0.5850740408346421,0.5,0.23555216092358022,0.3202385547040121,0.5840448150830521,0.48067635254970886,0.5,34849,34849,1782798,753484,42.26412639009018
30,12,0.008,0.005,xgboost,200,8,0.5,0.7964093089103699,True,0.6252300726069626,0.5000086942913283,0.21659711655794756,0.3022594564480441,0.6032572375001991,0.46603202503324426,0.5000086942913283,28755,28754,1771179,676886,38.21669069021256
30,9,0.01,0.008,xgboost,200,12,0.55,0.8210596442222595,True,0.6005120879865401,0.5500251653724475,0.20804465627315932,0.30189777565105,0.6093524715581455,0.5139020388199688,0.5500251653724475,30599,25033,1771179,749264,42.30312125426058
21,12,0.008,0.005,xgboost,200,12,0.5,0.7929040193557739,True,0.6255188467579089,0.5,0.21133870061786184,0.2970999615714639,0.5992526208804517,0.46408403696537004,0.5,28219,28219,1782798,680637,38.17802129012934
