window_size,horizon,label_threshold,n_kernels,max_samples,accuracy,f1_weighted,f1_sell,f1_hold,f1_buy,samples_train,samples_test
90,18,0.005,3000,75000,0.4991333333333333,0.48425995377063064,0.5158408356813965,0.0,0.5140418502202643,60000,15000
30,18,0.005,2000,75000,0.4981333333333333,0.4826836959633364,0.5017662851490745,0.0,0.5240577385725742,60000,15000
60,18,0.005,3000,75000,0.49706666666666666,0.4823096139203809,0.5076901759733962,0.0022497187851518562,0.5165905839067929,60000,15000
90,18,0.005,2000,75000,0.4962666666666667,0.4818477265916316,0.5024533856722276,0.004667444574095682,0.5186529542246421,60000,15000
60,18,0.005,2000,75000,0.4961333333333333,0.4806383273781146,0.4947173043974871,0.0,0.526476039184538,60000,15000
90,18,0.005,1000,75000,0.4962666666666667,0.47937099485903495,0.49108625045110066,0.0,0.5318421052631579,60000,15000
30,18,0.005,1000,75000,0.49346666666666666,0.478141395023524,0.4925904816186948,0.0,0.5225857729500596,60000,15000
30,18,0.005,3000,75000,0.49206666666666665,0.4766975176933748,0.5003151481196162,0.0,0.5143474444669502,60000,15000
60,12,0.005,3000,75000,0.4945333333333333,0.47530587952067543,0.5013287366228543,0.006756756756756757,0.5269589740146378,60000,15000
30,12,0.005,3000,75000,0.493,0.4741625170919297,0.5004282043962318,0.0035026269702276708,0.5236427320490368,60000,15000
30,12,0.005,2000,75000,0.4924,0.47249990441649814,0.49051371862230003,0.0017241379310344827,0.5317124735729387,60000,15000
60,18,0.005,1000,75000,0.4854,0.4696119386835741,0.4819657996838626,0.0,0.5173572228443449,60000,15000
90,12,0.005,2000,75000,0.4876666666666667,0.4695872661936371,0.49037079620580626,0.003616636528028933,0.5208973160635599,60000,15000
90,12,0.005,3000,75000,0.4842,0.466752643950269,0.5056755260243633,0.015113350125944584,0.5014971102290927,60000,15000
60,12,0.005,2000,75000,0.48313333333333336,0.46403684650462007,0.48071043820061143,0.0034482758620689655,0.5221824923851146,60000,15000
90,12,0.005,1000,75000,0.48146666666666665,0.46151146240980234,0.47296301753352,0.0017777777777777779,0.5242794588588982,60000,15000
30,12,0.005,1000,75000,0.47733333333333333,0.45896537319673075,0.4708372873932404,0.005560704355885079,0.5166206805938773,60000,15000
60,12,0.005,1000,75000,0.4764,0.4570358394249533,0.4673752583407145,0.0,0.5186681436111292,60000,15000
60,18,0.01,3000,75000,0.47526666666666667,0.4560137277005751,0.5037978381536664,0.05814490078449469,0.5115621243193551,60000,15000
30,6,0.005,3000,75000,0.469,0.44774492055921655,0.48802373543671757,0.03771551724137931,0.5065270506108203,60000,15000
60,6,0.005,3000,75000,0.46613333333333334,0.4446643827730061,0.49137808180133963,0.03584607274644175,0.49896936527116353,60000,15000
90,18,0.01,2000,75000,0.4644666666666667,0.44441158576345546,0.476025592773805,0.06996268656716417,0.511975842426738,60000,15000
30,18,0.01,3000,75000,0.45993333333333336,0.44050150259138365,0.4871459694989107,0.06466729147141519,0.4931895573212259,60000,15000
60,6,0.005,2000,75000,0.46326666666666666,0.4398902461460048,0.4917028701659426,0.028361344537815126,0.4937744574884383,60000,15000
30,6,0.005,1000,75000,0.4670666666666667,0.43986223534598223,0.4801239029426949,0.009211283822682787,0.5091131664853101,60000,15000
90,18,0.01,1000,75000,0.46486666666666665,0.43888167220092,0.47895008478950085,0.02748414376321353,0.5086283946373324,60000,15000
30,18,0.01,2000,75000,0.46053333333333335,0.4384292000767729,0.476481095564156,0.042467138523761376,0.5025366790072673,60000,15000
90,6,0.005,1000,75000,0.46253333333333335,0.4374049120032661,0.47441655009938893,0.016568047337278107,0.502750050926869,60000,15000
90,6,0.005,2000,75000,0.46166666666666667,0.4373275553307933,0.4764286239611679,0.028002154011847066,0.5032311288326687,60000,15000
30,18,0.01,1000,75000,0.4624666666666667,0.4357101439045797,0.47220570749108204,0.015891032917139614,0.5068326342849412,60000,15000
90,6,0.005,3000,75000,0.45526666666666665,0.43504431281497025,0.4912776326011724,0.04212637913741224,0.4779374593774825,60000,15000
60,18,0.01,2000,75000,0.4553333333333333,0.43372939126980686,0.4739056617701336,0.03581800580832527,0.4980885521651491,60000,15000
60,6,0.005,1000,75000,0.4567333333333333,0.43227993614844223,0.4781024505251125,0.01464307504575961,0.48635477582846004,60000,15000
90,18,0.01,3000,75000,0.4497333333333333,0.43225715964412226,0.4822725331055105,0.05089285714285714,0.481551698993729,60000,15000
30,6,0.005,2000,75000,0.4560666666666667,0.43186049606281685,0.4750164125756802,0.0208105147864184,0.49305219495333563,60000,15000
60,18,0.01,1000,75000,0.45653333333333335,0.4305389947829033,0.46818691588785044,0.016877637130801686,0.5025459976916288,60000,15000
90,12,0.01,1000,75000,0.45393333333333336,0.42869570752489006,0.47342321400898807,0.06305955624756715,0.505748709122203,60000,15000
30,12,0.01,2000,75000,0.4497333333333333,0.42865038430412905,0.4716778934476424,0.07078986587183309,0.5009823182711198,60000,15000
90,12,0.01,2000,75000,0.44566666666666666,0.42826297930969615,0.4603991269098846,0.10837096213963182,0.5003848037500874,60000,15000
60,12,0.01,3000,75000,0.4428,0.4260431862760523,0.4769333630488077,0.10331125827814569,0.4846512315999704,60000,15000
60,12,0.01,2000,75000,0.44593333333333335,0.4259941380249495,0.46785246785246787,0.08262205530897918,0.5012780460096563,60000,15000
30,12,0.01,1000,75000,0.45213333333333333,0.42434968413016394,0.46268313262253585,0.041271151465125874,0.5111416781292984,60000,15000
90,12,0.01,3000,75000,0.43706666666666666,0.42147054166739994,0.47786169110025173,0.10926829268292683,0.4711230345033162,60000,15000
60,18,0.015,3000,75000,0.4308666666666667,0.4170425936989257,0.4733488733488733,0.13340045305814247,0.47913658128752756,60000,15000
30,12,0.01,3000,75000,0.4342666666666667,0.41588953845147786,0.45683093718766815,0.0712290502793296,0.48708330384315945,60000,15000
60,18,0.015,2000,75000,0.42606666666666665,0.41227825726215034,0.45508227698606407,0.13003901170351106,0.48327634904117733,60000,15000
60,18,0.015,1000,75000,0.429,0.4093597626897566,0.4603061305416766,0.11098717233686559,0.4830134009416878,60000,15000
60,12,0.01,1000,75000,0.4328,0.4081786360619044,0.45327457833156054,0.04472342094939192,0.4831688711596333,60000,15000
90,18,0.015,2000,75000,0.4216666666666667,0.40811514622110706,0.45527169184528987,0.1466275659824047,0.4744817188088956,60000,15000
90,18,0.015,1000,75000,0.4236,0.4046755050164999,0.44571244876637467,0.11458915595304639,0.48301022963015955,60000,15000
30,18,0.015,3000,75000,0.41486666666666666,0.4044398055063871,0.4454638930633552,0.1576402321083172,0.46607669616519176,60000,15000
30,18,0.015,2000,75000,0.41846666666666665,0.4025903995941946,0.45385658450985084,0.1380700428319476,0.46805987846450275,60000,15000
30,18,0.015,1000,75000,0.424,0.4011570026445593,0.4471961511160186,0.1001778304682869,0.4812504481250448,60000,15000
90,18,0.015,3000,75000,0.40726666666666667,0.39587043088060747,0.4574224124751567,0.12953367875647667,0.4485479797979798,60000,15000
60,12,0.015,3000,75000,0.39753333333333335,0.3937983616329462,0.43998657042135303,0.21563617782319877,0.44355300859598856,60000,15000
90,12,0.015,1000,75000,0.39973333333333333,0.39206667394696804,0.4203843812505435,0.224,0.4558110914545035,60000,15000
90,12,0.015,2000,75000,0.3966,0.3917664125799335,0.42749385541147555,0.246875,0.4366208504139539,60000,15000
30,6,0.01,3000,75000,0.394,0.3901952796155042,0.42990969702084564,0.2111994469408918,0.44512737565709665,60000,15000
60,12,0.015,2000,75000,0.39366666666666666,0.38997256371049727,0.4184556786703601,0.23048452220726784,0.4483365323096609,60000,15000
90,6,0.01,2000,75000,0.3928,0.3888668870868859,0.41817870592262923,0.22562478000703978,0.44451480132974514,60000,15000
90,12,0.015,3000,75000,0.39426666666666665,0.38861747512994854,0.4359726295210166,0.22637479978643887,0.4299049979347377,60000,15000
90,6,0.01,3000,75000,0.39093333333333335,0.3878376769530081,0.4439729045947931,0.22106500923903913,0.42157028997795487,60000,15000
30,12,0.015,2000,75000,0.39326666666666665,0.38765367146779767,0.4299923488905891,0.20705073086844367,0.44566092416680086,60000,15000
60,6,0.01,3000,75000,0.3894,0.385999303833421,0.4304932735426009,0.22162162162162163,0.4308024588802127,60000,15000
90,6,0.01,1000,75000,0.39313333333333333,0.38595199323797813,0.4246506986027944,0.21916804104819498,0.43869318635673776,60000,15000
