window_size,horizon,label_threshold,n_kernels,max_samples,accuracy,f1_weighted,f1_sell,f1_hold,f1_buy,samples_train,samples_test
30,12,0.01,2000,50000,0.446,0.42703381354754394,0.47396191787107134,0.09581442259203228,0.4944617700828046,40000,10000
60,12,0.01,2000,50000,0.4296,0.41228997669055645,0.4550620433723762,0.07736943907156674,0.48426254162638305,40000,10000
60,6,0.01,2000,50000,0.3853,0.3829923390654076,0.42482583913869537,0.22528735632183908,0.4236874236874237,40000,10000
30,6,0.01,2000,50000,0.3853,0.38110751275898536,0.424971793907484,0.200213561131874,0.4308324272079256,40000,10000
