timestamp,symbol,probability,threshold,is_buy,action_taken,price,in_position
2026-05-07T18:55:19.008623,FTNT,BUY,0.4597,0.0054,True,DRY_RUN_BUY,108.02
2026-05-07T18:55:19.154360,DDOG,BUY,0.4013,0.0054,True,DRY_RUN_BUY,188.75
2026-05-07T18:55:19.298634,GWW,BUY,0.507,0.0054,True,DRY_RUN_BUY,1234.57
2026-05-07T18:55:19.450454,BDX,BUY,0.5002,0.0054,True,DRY_RUN_BUY,153.22
2026-05-07T18:55:19.593872,AXON,BUY,0.4163,0.0054,True,DRY_RUN_BUY,426.635
2026-05-07T18:55:19.737588,MTSI,BUY,0.4131,0.0054,True,DRY_RUN_BUY,344.63
2026-05-07T18:55:19.888150,SITM,BUY,0.3985,0.0054,True,DRY_RUN_BUY,796.155
2026-05-07T18:55:20.036605,VTRS,BUY,0.4858,0.0054,True,DRY_RUN_BUY,17.385
2026-05-07T18:55:20.182072,PTC,BUY,0.4964,0.0054,True,DRY_RUN_BUY,147.66
2026-05-07T18:55:20.344993,RGC,BUY,0.4584,0.0054,True,DRY_RUN_BUY,31.87
2026-05-07T18:55:20.497185,LAMR,BUY,0.5249,0.0054,True,DRY_RUN_BUY,151.04
2026-05-07T18:55:20.643958,PODD,BUY,0.4056,0.0054,True,DRY_RUN_BUY,160.29
2026-05-07T18:55:20.794115,CGNX,BUY,0.4605,0.0054,True,DRY_RUN_BUY,65.93
2026-05-07T18:55:20.936680,AAON,BUY,0.4205,0.0054,True,DRY_RUN_BUY,129.4
2026-05-07T18:55:21.078298,SNEX,BUY,0.4415,0.0054,True,DRY_RUN_BUY,120.77
2026-05-07T18:55:21.225098,PRMB,BUY,0.4456,0.0054,True,DRY_RUN_BUY,22.23
2026-05-07T18:55:21.374373,TECH,BUY,0.4465,0.0054,True,DRY_RUN_BUY,50.885
2026-05-07T18:55:21.518575,ORA,BUY,0.4894,0.0054,True,DRY_RUN_BUY,122.32
2026-05-07T18:55:21.663108,MIDD,BUY,0.4757,0.0054,True,DRY_RUN_BUY,158.15
2026-05-07T18:55:21.815618,BTG,BUY,0.4187,0.0054,True,DRY_RUN_BUY,4.94
2026-05-07T18:55:21.988469,PRIM,BUY,0.3826,0.0054,True,DRY_RUN_BUY,107.94
2026-05-07T18:55:22.142401,RDN,BUY,0.5185,0.0054,True,DRY_RUN_BUY,37.64
2026-05-07T18:55:22.295003,PRM,BUY,0.4242,0.0054,True,DRY_RUN_BUY,29.35
2026-05-07T18:55:22.439880,HRB,BUY,0.47,0.0054,True,DRY_RUN_BUY,36.23
2026-05-07T18:55:22.585868,INSW,BUY,0.4359,0.0054,True,DRY_RUN_BUY,90.28
2026-05-07T18:55:22.729817,BLLN,BUY,0.4151,0.0054,True,DRY_RUN_BUY,92.9
2026-05-07T18:55:22.880523,COLD,BUY,0.448,0.0054,True,DRY_RUN_BUY,14.975
2026-05-07T18:55:23.028152,NP,BUY,0.4313,0.0054,True,DRY_RUN_BUY,30.52
2026-05-07T18:55:23.173189,NAMS,BUY,0.4209,0.0054,True,DRY_RUN_BUY,34.85
2026-05-07T18:55:23.318013,XMTR,BUY,0.3927,0.0054,True,DRY_RUN_BUY,78.43
2026-05-07T18:55:23.460479,ACMR,BUY,0.4102,0.0054,True,DRY_RUN_BUY,59.19
2026-05-07T18:55:23.601676,LIVN,BUY,0.471,0.0054,True,DRY_RUN_BUY,70.88
2026-05-07T18:55:23.747689,RXO,BUY,0.4282,0.0054,True,DRY_RUN_BUY,23.15
2026-05-07T18:55:23.893049,FLNC,BUY,0.403,0.0054,True,DRY_RUN_BUY,18.94
2026-05-07T18:55:24.045462,LFST,BUY,0.4691,0.0054,True,DRY_RUN_BUY,8.83
