window_size,horizon,label_threshold,feature_mode,classifier,n_estimators,max_depth,accuracy,f1_weighted,f1_sell,f1_hold,f1_buy,samples_train,samples_test,n_features
20,5,0.02,indicators,random_forest,100,10,0.428,0.42620963927773253,0.40206498633464927,0.49563599942767206,0.381011673151751,40000,10000,180
15,5,0.02,combined,random_forest,100,10,0.4254,0.4227409319026041,0.3928964325003929,0.49297174499503055,0.3845920533818623,40000,10000,157
15,5,0.02,indicators,random_forest,100,10,0.4215,0.4199767932672225,0.4,0.4848840622248312,0.3775695284159613,40000,10000,135
20,5,0.02,combined,random_forest,100,10,0.4164,0.415360608849828,0.40387437628412093,0.46651549508692364,0.37893775681022673,40000,10000,202
20,5,0.02,catch22,random_forest,100,10,0.3773,0.37604017412553153,0.3422753716871364,0.3797752808988764,0.4038512265892904,40000,10000,44
15,5,0.02,catch22,random_forest,100,10,0.3721,0.3719055350309801,0.3608953860210142,0.3885523924894004,0.36696441645921807,40000,10000,44
